class_name,class_module,constructor_signature,public_method_count,public_methods
LegalityAwarePolicyAgent,notebook54_adapter_reconstruction,"(model: 'Any', preprocessor: 'Any', side_mode: 'str' = 'PRESERVE', agent_name: 'str' = 'Notebook53LegalityAwarePolicy') -> 'None'",6,"[{""method_name"": ""act"", ""signature"": ""(self, state: 'Any', legal_moves: 'Optional[Sequence[Any]]' = None) -> 'Any'""}, {""method_name"": ""choose_move"", ""signature"": ""(self, state: 'Any', legal_moves: 'Optional[Sequence[Any]]' = None) -> 'Any'""}, {""method_name"": ""choose_move_detailed"", ""signature"": ""(self, state: 'Any', legal_moves: 'Optional[Sequence[Any]]' = None) -> 'Dict[str, Any]'""}, {""method_name"": ""reset"", ""signature"": ""(self) -> 'None'""}, {""method_name"": ""select_action"", ""signature"": ""(self, state: 'Any', legal_moves: 'Optional[Sequence[Any]]' = None) -> 'Any'""}, {""method_name"": ""statistics"", ""signature"": ""(self) -> 'Dict[str, Any]'""}]"
LegalityAwareBattleRunnerAgent,notebook54_adapter_reconstruction,"(policy_agent: 'LegalityAwarePolicyAgent', default_search_depth: 'int' = 0) -> 'None'",3,"[{""method_name"": ""choose_move"", ""signature"": ""(self, state: 'Any', depth: 'Optional[int]' = None) -> 'Any'""}, {""method_name"": ""reset"", ""signature"": ""(self) -> 'None'""}, {""method_name"": ""statistics"", ""signature"": ""(self) -> 'Dict[str, Any]'""}]"
