card_name,candidate_card_ids,candidate_count,expansions,image_references,identifier_status
Bulbasaur,[],0,[],[],NO_IDENTIFIER_FOUND
Charmander,[],0,[],[],NO_IDENTIFIER_FOUND
Eevee,[],0,[],[],NO_IDENTIFIER_FOUND
Meowth,[],0,[],[],NO_IDENTIFIER_FOUND
