source_condition_id,states,scenarios,average_turn,average_quick_attack_probability,average_ascension_probability,average_score_margin,minimum_score_margin,maximum_score_margin
BASELINE,112,5,3.7142857142857144,0.715,0.18392857142857144,0.5310714285714286,0.51,0.6880000000000001
HP_PRESSURE,72,5,2.3333333333333335,0.798,0.13244444444444445,0.6655555555555556,0.634,0.6880000000000001
