artifact_name,artifact_path,exists,size_bytes,sha256_before,sha256_after,artifact_unchanged
legality_aware_model,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook53\legality_aware_random_forest.joblib,True,1218918,ec374c84b67958a0ffe49aa690d093c1a21aa1ebc16e0c29305b1b0603f9e68b,ec374c84b67958a0ffe49aa690d093c1a21aa1ebc16e0c29305b1b0603f9e68b,True
legality_aware_preprocessor,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook53\legality_aware_preprocessor.joblib,True,8008,b404f4d57955784a3023e51cb2ff70e7ceb9bc8144338cd0d149ef5931c301c5,b404f4d57955784a3023e51cb2ff70e7ceb9bc8144338cd0d149ef5931c301c5,True
encoded_feature_names,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook53\legality_aware_encoded_feature_names.json,True,2502,9274e39b42280a04c684833fc540bd2d5f09e7eb39979fa23c03d22cd2aee4fc,9274e39b42280a04c684833fc540bd2d5f09e7eb39979fa23c03d22cd2aee4fc,True
raw_feature_schema,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook53\legality_aware_raw_feature_schema.json,True,2662,126b37ada1c2aac93a426299239f641939be051cd79fc4d13fd3b2c05c02bc9f,126b37ada1c2aac93a426299239f641939be051cd79fc4d13fd3b2c05c02bc9f,True
