state_variable,side,active_card,active_object_found,energy_value,energy_observed,energy_attribute,energy_raw_type,energy_extraction_status
initial_state,Player,Meowth,True,0.0,True,attached_energy,int,ENERGY_EXTRACTED
initial_state,Opponent,Transition Test Dummy,True,0.0,True,attached_energy,int,ENERGY_EXTRACTED
