expansion_variant_id,unique_selected_moves
EEVEE_ENERGY_ADVANTAGE,1
MINIMUM_MULTI_ACTION_ENERGY,1
OBSERVED_ENERGY_CONTEXT,1
SYMMETRIC_TWO_ENERGY,1
