expanded_pair_id,comparison_case_id,evaluation_side,source_pair_id,source_scenario_id,source_condition_id,source_turn_number,expansion_variant_id,acting_card,opposing_card,acting_energy,opposing_energy,predicted_action,quick_attack_probability,ascension_probability,quick_attack_minus_ascension,target_probability_total,conditional_quick_attack_share,conditional_ascension_share,quick_attack_score_advantage,ascension_score_advantage,score_tie,energy_difference,score_margin_strength,global_top_feature,global_top_feature_importance,legal_signature_feature_flag
4WE_PAIR_003_V04,4WE_PAIR_003_V04__PLAYER,Player,4WC_PAIR_003,T52_S001__BASELINE,BASELINE,6,EEVEE_ENERGY_ADVANTAGE,Eevee,Bulbasaur,3.0,2.0,Quick Attack,0.716,0.184,0.532,0.8999999999999999,0.7955555555555556,0.20444444444444446,True,False,False,1.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_004_V01,4WE_PAIR_004_V01__OPPONENT,Opponent,4WC_PAIR_004,T52_S001__BASELINE,BASELINE,8,OBSERVED_ENERGY_CONTEXT,Eevee,Bulbasaur,3.0,3.0,Quick Attack,0.714,0.184,0.53,0.8979999999999999,0.7951002227171493,0.2048997772828508,True,False,False,0.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_004_V01,4WE_PAIR_004_V01__PLAYER,Player,4WC_PAIR_004,T52_S001__BASELINE,BASELINE,8,OBSERVED_ENERGY_CONTEXT,Eevee,Bulbasaur,3.0,3.0,Quick Attack,0.716,0.182,0.534,0.8979999999999999,0.7973273942093542,0.2026726057906459,True,False,False,0.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_004_V02,4WE_PAIR_004_V02__OPPONENT,Opponent,4WC_PAIR_004,T52_S001__BASELINE,BASELINE,8,MINIMUM_MULTI_ACTION_ENERGY,Eevee,Bulbasaur,2.0,3.0,Quick Attack,0.708,0.192,0.516,0.8999999999999999,0.7866666666666667,0.21333333333333335,True,False,False,-1.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_004_V02,4WE_PAIR_004_V02__PLAYER,Player,4WC_PAIR_004,T52_S001__BASELINE,BASELINE,8,MINIMUM_MULTI_ACTION_ENERGY,Eevee,Bulbasaur,2.0,3.0,Quick Attack,0.71,0.19,0.52,0.8999999999999999,0.788888888888889,0.21111111111111114,True,False,False,-1.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_004_V03,4WE_PAIR_004_V03__OPPONENT,Opponent,4WC_PAIR_004,T52_S001__BASELINE,BASELINE,8,SYMMETRIC_TWO_ENERGY,Eevee,Bulbasaur,2.0,2.0,Quick Attack,0.708,0.192,0.516,0.8999999999999999,0.7866666666666667,0.21333333333333335,True,False,False,0.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_004_V03,4WE_PAIR_004_V03__PLAYER,Player,4WC_PAIR_004,T52_S001__BASELINE,BASELINE,8,SYMMETRIC_TWO_ENERGY,Eevee,Bulbasaur,2.0,2.0,Quick Attack,0.71,0.19,0.52,0.8999999999999999,0.788888888888889,0.21111111111111114,True,False,False,0.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_004_V04,4WE_PAIR_004_V04__OPPONENT,Opponent,4WC_PAIR_004,T52_S001__BASELINE,BASELINE,8,EEVEE_ENERGY_ADVANTAGE,Eevee,Bulbasaur,3.0,2.0,Quick Attack,0.714,0.184,0.53,0.8979999999999999,0.7951002227171493,0.2048997772828508,True,False,False,1.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_004_V04,4WE_PAIR_004_V04__PLAYER,Player,4WC_PAIR_004,T52_S001__BASELINE,BASELINE,8,EEVEE_ENERGY_ADVANTAGE,Eevee,Bulbasaur,3.0,2.0,Quick Attack,0.716,0.182,0.534,0.8979999999999999,0.7973273942093542,0.2026726057906459,True,False,False,1.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_005_V01,4WE_PAIR_005_V01__OPPONENT,Opponent,4WC_PAIR_005,T52_S001__HP_PRESSURE,HP_PRESSURE,2,OBSERVED_ENERGY_CONTEXT,Eevee,Bulbasaur,3.0,3.0,Quick Attack,0.81,0.126,0.684,0.936,0.8653846153846154,0.1346153846153846,True,False,False,0.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_005_V01,4WE_PAIR_005_V01__PLAYER,Player,4WC_PAIR_005,T52_S001__HP_PRESSURE,HP_PRESSURE,2,OBSERVED_ENERGY_CONTEXT,Eevee,Bulbasaur,3.0,3.0,Quick Attack,0.812,0.124,0.6880000000000001,0.936,0.8675213675213675,0.13247863247863248,True,False,False,0.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_005_V02,4WE_PAIR_005_V02__OPPONENT,Opponent,4WC_PAIR_005,T52_S001__HP_PRESSURE,HP_PRESSURE,2,MINIMUM_MULTI_ACTION_ENERGY,Eevee,Bulbasaur,2.0,3.0,Quick Attack,0.79,0.148,0.642,0.9380000000000001,0.8422174840085288,0.1577825159914712,True,False,False,-1.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_005_V02,4WE_PAIR_005_V02__PLAYER,Player,4WC_PAIR_005,T52_S001__HP_PRESSURE,HP_PRESSURE,2,MINIMUM_MULTI_ACTION_ENERGY,Eevee,Bulbasaur,2.0,3.0,Quick Attack,0.798,0.14,0.658,0.9380000000000001,0.8507462686567164,0.1492537313432836,True,False,False,-1.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_005_V03,4WE_PAIR_005_V03__OPPONENT,Opponent,4WC_PAIR_005,T52_S001__HP_PRESSURE,HP_PRESSURE,2,SYMMETRIC_TWO_ENERGY,Eevee,Bulbasaur,2.0,2.0,Quick Attack,0.79,0.148,0.642,0.9380000000000001,0.8422174840085288,0.1577825159914712,True,False,False,0.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_005_V03,4WE_PAIR_005_V03__PLAYER,Player,4WC_PAIR_005,T52_S001__HP_PRESSURE,HP_PRESSURE,2,SYMMETRIC_TWO_ENERGY,Eevee,Bulbasaur,2.0,2.0,Quick Attack,0.798,0.14,0.658,0.9380000000000001,0.8507462686567164,0.1492537313432836,True,False,False,0.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_005_V04,4WE_PAIR_005_V04__OPPONENT,Opponent,4WC_PAIR_005,T52_S001__HP_PRESSURE,HP_PRESSURE,2,EEVEE_ENERGY_ADVANTAGE,Eevee,Bulbasaur,3.0,2.0,Quick Attack,0.81,0.126,0.684,0.936,0.8653846153846154,0.1346153846153846,True,False,False,1.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_005_V04,4WE_PAIR_005_V04__PLAYER,Player,4WC_PAIR_005,T52_S001__HP_PRESSURE,HP_PRESSURE,2,EEVEE_ENERGY_ADVANTAGE,Eevee,Bulbasaur,3.0,2.0,Quick Attack,0.812,0.124,0.6880000000000001,0.936,0.8675213675213675,0.13247863247863248,True,False,False,1.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_006_V01,4WE_PAIR_006_V01__OPPONENT,Opponent,4WC_PAIR_006,T52_S001__HP_PRESSURE,HP_PRESSURE,4,OBSERVED_ENERGY_CONTEXT,Eevee,Bulbasaur,3.0,3.0,Quick Attack,0.81,0.126,0.684,0.936,0.8653846153846154,0.1346153846153846,True,False,False,0.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_006_V01,4WE_PAIR_006_V01__PLAYER,Player,4WC_PAIR_006,T52_S001__HP_PRESSURE,HP_PRESSURE,4,OBSERVED_ENERGY_CONTEXT,Eevee,Bulbasaur,3.0,3.0,Quick Attack,0.812,0.124,0.6880000000000001,0.936,0.8675213675213675,0.13247863247863248,True,False,False,0.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_006_V02,4WE_PAIR_006_V02__OPPONENT,Opponent,4WC_PAIR_006,T52_S001__HP_PRESSURE,HP_PRESSURE,4,MINIMUM_MULTI_ACTION_ENERGY,Eevee,Bulbasaur,2.0,3.0,Quick Attack,0.79,0.148,0.642,0.9380000000000001,0.8422174840085288,0.1577825159914712,True,False,False,-1.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_006_V02,4WE_PAIR_006_V02__PLAYER,Player,4WC_PAIR_006,T52_S001__HP_PRESSURE,HP_PRESSURE,4,MINIMUM_MULTI_ACTION_ENERGY,Eevee,Bulbasaur,2.0,3.0,Quick Attack,0.798,0.14,0.658,0.9380000000000001,0.8507462686567164,0.1492537313432836,True,False,False,-1.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_006_V03,4WE_PAIR_006_V03__OPPONENT,Opponent,4WC_PAIR_006,T52_S001__HP_PRESSURE,HP_PRESSURE,4,SYMMETRIC_TWO_ENERGY,Eevee,Bulbasaur,2.0,2.0,Quick Attack,0.79,0.148,0.642,0.9380000000000001,0.8422174840085288,0.1577825159914712,True,False,False,0.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_006_V03,4WE_PAIR_006_V03__PLAYER,Player,4WC_PAIR_006,T52_S001__HP_PRESSURE,HP_PRESSURE,4,SYMMETRIC_TWO_ENERGY,Eevee,Bulbasaur,2.0,2.0,Quick Attack,0.798,0.14,0.658,0.9380000000000001,0.8507462686567164,0.1492537313432836,True,False,False,0.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_006_V04,4WE_PAIR_006_V04__OPPONENT,Opponent,4WC_PAIR_006,T52_S001__HP_PRESSURE,HP_PRESSURE,4,EEVEE_ENERGY_ADVANTAGE,Eevee,Bulbasaur,3.0,2.0,Quick Attack,0.81,0.126,0.684,0.936,0.8653846153846154,0.1346153846153846,True,False,False,1.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_006_V04,4WE_PAIR_006_V04__PLAYER,Player,4WC_PAIR_006,T52_S001__HP_PRESSURE,HP_PRESSURE,4,EEVEE_ENERGY_ADVANTAGE,Eevee,Bulbasaur,3.0,2.0,Quick Attack,0.812,0.124,0.6880000000000001,0.936,0.8675213675213675,0.13247863247863248,True,False,False,1.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_007_V01,4WE_PAIR_007_V01__OPPONENT,Opponent,4WC_PAIR_007,T52_S002__BASELINE,BASELINE,1,OBSERVED_ENERGY_CONTEXT,Eevee,Bulbasaur,3.0,3.0,Quick Attack,0.702,0.176,0.526,0.8779999999999999,0.7995444191343964,0.20045558086560367,True,False,False,0.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_007_V01,4WE_PAIR_007_V01__PLAYER,Player,4WC_PAIR_007,T52_S002__BASELINE,BASELINE,1,OBSERVED_ENERGY_CONTEXT,Eevee,Bulbasaur,3.0,3.0,Quick Attack,0.704,0.174,0.53,0.8779999999999999,0.8018223234624147,0.19817767653758545,True,False,False,0.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_007_V02,4WE_PAIR_007_V02__OPPONENT,Opponent,4WC_PAIR_007,T52_S002__BASELINE,BASELINE,1,MINIMUM_MULTI_ACTION_ENERGY,Eevee,Bulbasaur,2.0,3.0,Quick Attack,0.696,0.184,0.512,0.8799999999999999,0.7909090909090909,0.2090909090909091,True,False,False,-1.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_007_V02,4WE_PAIR_007_V02__PLAYER,Player,4WC_PAIR_007,T52_S002__BASELINE,BASELINE,1,MINIMUM_MULTI_ACTION_ENERGY,Eevee,Bulbasaur,2.0,3.0,Quick Attack,0.698,0.182,0.516,0.8799999999999999,0.7931818181818182,0.20681818181818185,True,False,False,-1.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_007_V03,4WE_PAIR_007_V03__OPPONENT,Opponent,4WC_PAIR_007,T52_S002__BASELINE,BASELINE,1,SYMMETRIC_TWO_ENERGY,Eevee,Bulbasaur,2.0,2.0,Quick Attack,0.696,0.184,0.512,0.8799999999999999,0.7909090909090909,0.2090909090909091,True,False,False,0.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_007_V03,4WE_PAIR_007_V03__PLAYER,Player,4WC_PAIR_007,T52_S002__BASELINE,BASELINE,1,SYMMETRIC_TWO_ENERGY,Eevee,Bulbasaur,2.0,2.0,Quick Attack,0.698,0.182,0.516,0.8799999999999999,0.7931818181818182,0.20681818181818185,True,False,False,0.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_007_V04,4WE_PAIR_007_V04__OPPONENT,Opponent,4WC_PAIR_007,T52_S002__BASELINE,BASELINE,1,EEVEE_ENERGY_ADVANTAGE,Eevee,Bulbasaur,3.0,2.0,Quick Attack,0.702,0.176,0.526,0.8779999999999999,0.7995444191343964,0.20045558086560367,True,False,False,1.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_007_V04,4WE_PAIR_007_V04__PLAYER,Player,4WC_PAIR_007,T52_S002__BASELINE,BASELINE,1,EEVEE_ENERGY_ADVANTAGE,Eevee,Bulbasaur,3.0,2.0,Quick Attack,0.704,0.174,0.53,0.8779999999999999,0.8018223234624147,0.19817767653758545,True,False,False,1.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_008_V01,4WE_PAIR_008_V01__OPPONENT,Opponent,4WC_PAIR_008,T52_S002__BASELINE,BASELINE,3,OBSERVED_ENERGY_CONTEXT,Eevee,Bulbasaur,3.0,3.0,Quick Attack,0.712,0.188,0.524,0.8999999999999999,0.7911111111111111,0.2088888888888889,True,False,False,0.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_008_V01,4WE_PAIR_008_V01__PLAYER,Player,4WC_PAIR_008,T52_S002__BASELINE,BASELINE,3,OBSERVED_ENERGY_CONTEXT,Eevee,Bulbasaur,3.0,3.0,Quick Attack,0.714,0.186,0.528,0.8999999999999999,0.7933333333333333,0.2066666666666667,True,False,False,0.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_008_V02,4WE_PAIR_008_V02__OPPONENT,Opponent,4WC_PAIR_008,T52_S002__BASELINE,BASELINE,3,MINIMUM_MULTI_ACTION_ENERGY,Eevee,Bulbasaur,2.0,3.0,Quick Attack,0.706,0.196,0.51,0.9019999999999999,0.7827050997782705,0.2172949002217295,True,False,False,-1.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_008_V02,4WE_PAIR_008_V02__PLAYER,Player,4WC_PAIR_008,T52_S002__BASELINE,BASELINE,3,MINIMUM_MULTI_ACTION_ENERGY,Eevee,Bulbasaur,2.0,3.0,Quick Attack,0.708,0.194,0.514,0.9019999999999999,0.7849223946784922,0.2150776053215078,True,False,False,-1.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
