feature,importance
categorical__legal_move_signature_ascension,0.05628511779747432
numeric__is_legal__pass,0.04799978307116283
numeric__is_legal__ascension,0.04426070080363948
numeric__single_legal_move_flag,0.038381307664202564
categorical__legal_move_signature_pass,0.0379820570766421
categorical__legal_move_signature_ascension | quick attack,0.03776131945344856
numeric__active_card_can_use__live_coal,0.036131694298422806
numeric__is_legal__quick_attack,0.035459487222360975
numeric__multi_legal_move_flag,0.035189324368894596
categorical__active_card_Charmander,0.03350559079955056
