mirror_pair_id,comparison_case_id,case_role,evaluation_side,source_scenario_id,source_condition_id,source_decision_number,source_turn_number,acting_card,opposing_card,acting_hp,opposing_hp,acting_energy,opposing_energy,expected_legal_moves,runtime_legal_moves,legal_move_sets_match,selected_move,selected_move_is_legal,selected_probability,prediction_confidence,routing_reason,raw_predicted_action,fallback_used,policy_history_record_available,acting_card_match,opposing_card_match,acting_energy_match,opposing_energy_match,case_execution_success,error_type,error_message
4WC_PAIR_008,4WC_PAIR_008__MIRRORED_PLAYER,MIRRORED,Player,T52_S002__BASELINE,BASELINE,3,3,Eevee,Bulbasaur,50.0,80.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.868,0.868,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WC_PAIR_009,4WC_PAIR_009__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S002__BASELINE,BASELINE,5,5,Eevee,Bulbasaur,50.0,80.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.866,0.866,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WC_PAIR_009,4WC_PAIR_009__MIRRORED_PLAYER,MIRRORED,Player,T52_S002__BASELINE,BASELINE,5,5,Eevee,Bulbasaur,50.0,80.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.868,0.868,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WC_PAIR_010,4WC_PAIR_010__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S002__BASELINE,BASELINE,7,7,Eevee,Bulbasaur,50.0,80.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.868,0.868,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WC_PAIR_010,4WC_PAIR_010__MIRRORED_PLAYER,MIRRORED,Player,T52_S002__BASELINE,BASELINE,7,7,Eevee,Bulbasaur,50.0,80.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.87,0.87,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WC_PAIR_011,4WC_PAIR_011__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S002__HP_PRESSURE,HP_PRESSURE,1,1,Eevee,Bulbasaur,50.0,40.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.958,0.958,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WC_PAIR_011,4WC_PAIR_011__MIRRORED_PLAYER,MIRRORED,Player,T52_S002__HP_PRESSURE,HP_PRESSURE,1,1,Eevee,Bulbasaur,50.0,40.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.96,0.96,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WC_PAIR_012,4WC_PAIR_012__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S002__HP_PRESSURE,HP_PRESSURE,3,3,Eevee,Bulbasaur,50.0,40.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.976,0.976,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WC_PAIR_012,4WC_PAIR_012__MIRRORED_PLAYER,MIRRORED,Player,T52_S002__HP_PRESSURE,HP_PRESSURE,3,3,Eevee,Bulbasaur,50.0,40.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.978,0.978,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WC_PAIR_013,4WC_PAIR_013__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S003__BASELINE,BASELINE,2,2,Eevee,Charmander,50.0,80.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.866,0.866,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WC_PAIR_013,4WC_PAIR_013__MIRRORED_PLAYER,MIRRORED,Player,T52_S003__BASELINE,BASELINE,2,2,Eevee,Charmander,50.0,80.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.868,0.868,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WC_PAIR_014,4WC_PAIR_014__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S003__BASELINE,BASELINE,4,4,Eevee,Charmander,50.0,80.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.866,0.866,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WC_PAIR_014,4WC_PAIR_014__MIRRORED_PLAYER,MIRRORED,Player,T52_S003__BASELINE,BASELINE,4,4,Eevee,Charmander,50.0,80.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.868,0.868,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WC_PAIR_015,4WC_PAIR_015__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S003__HP_PRESSURE,HP_PRESSURE,2,2,Eevee,Charmander,50.0,40.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.974,0.974,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WC_PAIR_015,4WC_PAIR_015__MIRRORED_PLAYER,MIRRORED,Player,T52_S003__HP_PRESSURE,HP_PRESSURE,2,2,Eevee,Charmander,50.0,40.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.976,0.976,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WC_PAIR_016,4WC_PAIR_016__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S003__HP_PRESSURE,HP_PRESSURE,4,4,Eevee,Charmander,50.0,40.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.974,0.974,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WC_PAIR_016,4WC_PAIR_016__MIRRORED_PLAYER,MIRRORED,Player,T52_S003__HP_PRESSURE,HP_PRESSURE,4,4,Eevee,Charmander,50.0,40.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.976,0.976,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
