score_margin_strength,states,average_score_margin,minimum_score_margin,maximum_score_margin,state_share
ASCENSION_OR_TIE,0,,,,0.0
WEAK_QUICK_ATTACK_ADVANTAGE,0,,,,0.0
MODERATE_QUICK_ATTACK_ADVANTAGE,0,,,,0.0
STRONG_QUICK_ATTACK_ADVANTAGE,184,0.5836956521739131,0.51,0.6880000000000001,1.0
EXTREME_QUICK_ATTACK_ADVANTAGE,0,,,,0.0
