expanded_pair_id,comparison_case_id,evaluation_side,source_scenario_id,source_condition_id,source_turn_number,expansion_variant_id,counterfactual_id,counterfactual_group,counterfactual_description,legal_moves,legal_move_signature,observed_turn_number,observed_acting_energy,observed_opposing_energy,observed_energy_difference,predicted_action,quick_attack_probability,ascension_probability,quick_attack_minus_ascension,quick_attack_score_advantage,ascension_score_advantage,baseline_quick_attack_probability,baseline_ascension_probability,baseline_quick_attack_minus_ascension,baseline_predicted_action,quick_attack_probability_change,ascension_probability_change,score_margin_change,predicted_action_changed,ascension_overtook_quick_attack
4WE_PAIR_015_V01,4WE_PAIR_015_V01__PLAYER,Player,T52_S003__HP_PRESSURE,HP_PRESSURE,2,OBSERVED_ENERGY_CONTEXT,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,2,3.0,3.0,0.0,Ascension,0.088,0.644,-0.556,False,True,0.81,0.126,0.684,Quick Attack,-0.7220000000000001,0.518,-1.2400000000000002,True,True
4WE_PAIR_016_V01,4WE_PAIR_016_V01__PLAYER,Player,T52_S003__HP_PRESSURE,HP_PRESSURE,4,OBSERVED_ENERGY_CONTEXT,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,4,3.0,3.0,0.0,Ascension,0.088,0.644,-0.556,False,True,0.81,0.126,0.684,Quick Attack,-0.7220000000000001,0.518,-1.2400000000000002,True,True
4WE_PAIR_021_V01,4WE_PAIR_021_V01__PLAYER,Player,T52_S004__HP_PRESSURE,HP_PRESSURE,3,OBSERVED_ENERGY_CONTEXT,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,3,3.0,3.0,0.0,Ascension,0.088,0.644,-0.556,False,True,0.81,0.126,0.684,Quick Attack,-0.7220000000000001,0.518,-1.2400000000000002,True,True
4WE_PAIR_005_V01,4WE_PAIR_005_V01__PLAYER,Player,T52_S001__HP_PRESSURE,HP_PRESSURE,2,OBSERVED_ENERGY_CONTEXT,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,2,3.0,3.0,0.0,Ascension,0.09,0.642,-0.552,False,True,0.812,0.124,0.6880000000000001,Quick Attack,-0.7220000000000001,0.518,-1.2400000000000002,True,True
4WE_PAIR_006_V01,4WE_PAIR_006_V01__PLAYER,Player,T52_S001__HP_PRESSURE,HP_PRESSURE,4,OBSERVED_ENERGY_CONTEXT,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,4,3.0,3.0,0.0,Ascension,0.09,0.642,-0.552,False,True,0.812,0.124,0.6880000000000001,Quick Attack,-0.7220000000000001,0.518,-1.2400000000000002,True,True
4WE_PAIR_012_V01,4WE_PAIR_012_V01__PLAYER,Player,T52_S002__HP_PRESSURE,HP_PRESSURE,3,OBSERVED_ENERGY_CONTEXT,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,3,3.0,3.0,0.0,Ascension,0.09,0.642,-0.552,False,True,0.812,0.124,0.6880000000000001,Quick Attack,-0.7220000000000001,0.518,-1.2400000000000002,True,True
4WE_PAIR_015_V02,4WE_PAIR_015_V02__OPPONENT,Opponent,T52_S003__HP_PRESSURE,HP_PRESSURE,2,MINIMUM_MULTI_ACTION_ENERGY,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,2,2.0,3.0,-1.0,Ascension,0.07,0.668,-0.5980000000000001,False,True,0.788,0.15,0.638,Quick Attack,-0.718,0.518,-1.2360000000000002,True,True
4WE_PAIR_015_V03,4WE_PAIR_015_V03__OPPONENT,Opponent,T52_S003__HP_PRESSURE,HP_PRESSURE,2,SYMMETRIC_TWO_ENERGY,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,2,2.0,2.0,0.0,Ascension,0.07,0.668,-0.5980000000000001,False,True,0.788,0.15,0.638,Quick Attack,-0.718,0.518,-1.2360000000000002,True,True
4WE_PAIR_016_V02,4WE_PAIR_016_V02__OPPONENT,Opponent,T52_S003__HP_PRESSURE,HP_PRESSURE,4,MINIMUM_MULTI_ACTION_ENERGY,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,4,2.0,3.0,-1.0,Ascension,0.07,0.668,-0.5980000000000001,False,True,0.788,0.15,0.638,Quick Attack,-0.718,0.518,-1.2360000000000002,True,True
4WE_PAIR_016_V03,4WE_PAIR_016_V03__OPPONENT,Opponent,T52_S003__HP_PRESSURE,HP_PRESSURE,4,SYMMETRIC_TWO_ENERGY,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,4,2.0,2.0,0.0,Ascension,0.07,0.668,-0.5980000000000001,False,True,0.788,0.15,0.638,Quick Attack,-0.718,0.518,-1.2360000000000002,True,True
4WE_PAIR_021_V02,4WE_PAIR_021_V02__OPPONENT,Opponent,T52_S004__HP_PRESSURE,HP_PRESSURE,3,MINIMUM_MULTI_ACTION_ENERGY,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,3,2.0,3.0,-1.0,Ascension,0.07,0.668,-0.5980000000000001,False,True,0.788,0.15,0.638,Quick Attack,-0.718,0.518,-1.2360000000000002,True,True
