acting_side,decisions,energy_observed_decisions,average_acting_energy,minimum_acting_energy,maximum_acting_energy,average_defending_energy,control_actions,verified_energy_ready_actions,insufficient_energy_actions,energy_observation_rate
Opponent,92,92,1.3695652173913044,0.0,3.0,2.260869565217391,30,62,0,1.0
Player,88,88,2.25,1.0,3.0,1.2727272727272727,0,88,0,1.0
