expansion_variant_id,states,average_acting_energy,average_opposing_energy,average_energy_difference,average_quick_attack_probability,average_ascension_probability,average_score_margin,minimum_score_margin,maximum_score_margin
EEVEE_ENERGY_ADVANTAGE,46,3.0,2.0,1.0,0.7528260869565218,0.15743478260869564,0.5953913043478262,0.524,0.6880000000000001
MINIMUM_MULTI_ACTION_ENERGY,46,2.0,3.0,-1.0,0.7421304347826087,0.1701304347826087,0.5720000000000001,0.51,0.658
OBSERVED_ENERGY_CONTEXT,46,3.0,3.0,0.0,0.7528260869565218,0.15743478260869564,0.5953913043478262,0.524,0.6880000000000001
SYMMETRIC_TWO_ENERGY,46,2.0,2.0,0.0,0.7421304347826087,0.1701304347826087,0.5720000000000001,0.51,0.658
