acting_side_resolved,decisions,average_acting_energy,zero_energy_decisions,one_printed_attack_states,multi_printed_attack_states,control_action_states,multi_attack_rate
Opponent,107,,0,39,23,45,0.21495327102803738
Player,103,,0,103,0,0,0.0
