player_outcome,strategic_decisions,scenarios,average_confidence,minimum_confidence,maximum_confidence,average_priority_score
LOSS,18,8,0.9555555555555555,0.858,1.0,7.588888888888889
WIN,5,2,0.8868,0.858,0.956,2.2264
