current_player,decisions,average_confidence,average_selected_probability,fallbacks,masking_changes,fallback_rate,masking_change_rate
Opponent,29,0.780183908045977,0.3991264367816092,1,15,0.034482758620689655,0.5172413793103449
Player,27,0.6880000000000001,0.17358024691358023,0,24,0.0,0.8888888888888888
