card_name,battles,wins,losses,draws,started_battles,average_final_hp,win_rate
Charmander,3,3,0,0,1,46.666666666666664,1.0
Eevee,6,3,3,0,4,8.333333333333334,0.5
Bulbasaur,5,2,3,0,2,32.0,0.4
Meowth,2,0,2,0,1,0.0,0.0
