selected_move,selections,average_confidence,average_selected_probability,fallback_decisions,masking_changes,selection_fraction,masking_change_rate
Bind Down,19,0.6739649122807018,0.04596491228070175,1,19,0.3392857142857143,1.0
Quick Attack,14,0.8133333333333334,0.8133333333333334,0,0,0.25,0.0
Tuck Tail,11,0.6875151515151515,0.04448484848484849,0,11,0.19642857142857142,1.0
Live Coal,9,0.7349629629629629,0.07555555555555554,0,9,0.16071428571428573,1.0
Ascension,3,0.944,0.944,0,0,0.05357142857142857,0.0
