starting_side,battles,starter_wins,starter_losses,starter_win_rate,average_turns,average_confidence,fallback_decisions
Player,4,1,3,0.25,7.75,0.762475,0
Opponent,4,3,1,0.75,6.25,0.781994227994228,1
