module,class,method,signature
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,register_full_backward_pre_hook,"(self, hook: collections.abc.Callable[['Module', tuple[torch.Tensor, ...] | torch.Tensor], tuple[torch.Tensor, ...] | torch.Tensor | None], prepend: bool = False) -> torch.utils.hooks.RemovableHandle"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,register_load_state_dict_post_hook,"(self, hook)"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,register_load_state_dict_pre_hook,"(self, hook)"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,register_module,"(self, name: str, module: Optional[ForwardRef('Module')]) -> None"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,register_parameter,"(self, name: str, param: torch.nn.parameter.Parameter | None) -> None"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,register_state_dict_post_hook,"(self, hook)"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,register_state_dict_pre_hook,"(self, hook)"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,requires_grad_,"(self, requires_grad: bool = True) -> Self"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,set_extra_state,"(self, state: Any) -> None"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,set_submodule,"(self, target: str, module: 'Module', strict: bool = False) -> None"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,share_memory,(self) -> Self
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,state_dict,"(self, *args, destination=None, prefix='', keep_vars=False)"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,to,"(self, *args, **kwargs)"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,to_empty,"(self, *, device: str | torch.device | int | None, recurse: bool = True) -> Self"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,train,"(self, mode: bool = True) -> Self"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,type,"(self, dst_type: torch.dtype | str) -> Self"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,xpu,"(self, device: int | torch.device | None = None) -> Self"
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,zero_grad,"(self, set_to_none: bool = True) -> None"
src.engine.advanced_search,AdvancedSearchEngine,clear_history_table,(self) -> 'None'
src.engine.advanced_search,AdvancedSearchEngine,clear_killer_moves,(self) -> 'None'
src.engine.advanced_search,AdvancedSearchEngine,clear_transposition_table,(self) -> 'None'
src.engine.advanced_search,AdvancedSearchEngine,get_history_entries,"(self) -> 'List[Tuple[Player, Hashable, int]]'"
src.engine.advanced_search,AdvancedSearchEngine,get_history_score,"(self, player: 'Player', move: 'Move') -> 'int'"
src.engine.advanced_search,AdvancedSearchEngine,get_principal_variation,(self) -> 'List[Move]'
src.engine.advanced_search,AdvancedSearchEngine,history_table_size,(self) -> 'int'
src.engine.advanced_search,AdvancedSearchEngine,iterative_deepening,"(self, state: 'State', max_depth: 'int', root_player: 'Optional[Player]' = None, verbose: 'bool' = True, clear_table: 'bool' = True, clear_killers: 'bool' = True, clear_history: 'bool' = True) -> 'SearchResult'"
src.engine.advanced_search,AdvancedSearchEngine,killer_move_count,(self) -> 'int'
src.engine.advanced_search,AdvancedSearchEngine,preview_move_order,"(self, state: 'State', root_player: 'Optional[Player]' = None, ply: 'int' = 0) -> 'List[Move]'"
src.engine.advanced_search,AdvancedSearchEngine,search_depth,"(self, state: 'State', depth: 'int', root_player: 'Optional[Player]' = None, clear_table: 'bool' = True, clear_killers: 'bool' = True, clear_history: 'bool' = True) -> 'SearchResult'"
src.engine.advanced_search,AdvancedSearchEngine,search_for_time,"(self, state, seconds=1.0, verbose=False, max_depth=100, clear_table=True, clear_killers=True, clear_history=True)"
src.engine.advanced_search,AdvancedSearchEngine,transposition_table_size,(self) -> 'int'
src.engine.advanced_search,SearchResult,as_dict,"(self, move_to_string: 'Optional[MoveToStringFn]' = None) -> 'Dict[str, Any]'"
src.engine.advanced_search,SearchStats,as_dict,"(self) -> 'Dict[str, Any]'"
src.engine.advanced_search,SearchStats,reset,(self) -> 'None'
src.engine.advanced_search,SearchTimeLimit,elapsed,(self) -> 'float'
src.engine.advanced_search,SearchTimeLimit,expired,(self) -> 'bool'
src.engine.advanced_search,SearchTimeLimit,remaining,(self) -> 'float'
src.engine.advanced_search,SearchTimeLimit,start,(self) -> 'None'
