side,games,wins,losses,draws,score,average_turns,average_elapsed_seconds,fallbacks
Opponent,150,64,86,0,0.4266666666666667,3.7,0.0021313493396155014,0
Player,150,130,20,0,0.8666666666666667,3.3666666666666667,0.0022069813334382586,0
