side,baseline,games,wins,losses,draws,score,average_turns,baseline_strength_weight,side_priority_weight,weakness_weight,loss_volume_weight,game_length_weight,raw_priority,sampling_probability,initial_target_records,target_records,priority_rank,curriculum_tier,multi_action_target_fraction,policy_disagreement_target_fraction,late_game_target_fraction
Opponent,Depth-6 Search Baseline,50,16,34,0,0.32,4.14,1.5,1.75,0.9299999999999999,1.25,1.2248520710059172,3.7377126479289937,0.5081654118832779,2033,2023,1,Tier A — Opponent vs Search,0.85,0.6,0.35
Opponent,Greedy Damage Baseline,50,16,34,0,0.32,3.18,1.2,1.75,0.9299999999999999,1.25,0.9408284023668639,2.296797337278106,0.3122639632442171,1249,1239,2,Tier A — Opponent Recovery,0.85,0.6,0.35
Opponent,Random Baseline,50,32,18,0,0.64,3.78,0.75,1.75,0.61,0.7794117647058824,1.1183431952662721,0.6978646558475461,0.09487906473335915,380,370,3,Tier B — Opponent Reinforcement,0.78,0.4,0.2
Player,Depth-6 Search Baseline,50,42,8,0,0.84,3.34,1.5,1.0,0.41000000000000003,0.4852941176470588,0.9881656804733727,0.294923860076575,0.04009674336871765,160,150,4,Tier B — Player vs Search,0.78,0.4,0.2
Player,Greedy Damage Baseline,50,42,8,0,0.84,3.34,1.2,1.0,0.41000000000000003,0.4852941176470588,0.9881656804733727,0.23593908806126,0.032077394694974115,128,118,5,Tier C — General Maintenance,0.65,0.2,0.2
Player,Random Baseline,50,46,4,0,0.92,3.42,0.75,1.0,0.32999999999999996,0.36764705882352944,1.0118343195266273,0.09206948311869126,0.012517422075454063,50,100,6,Tier C — General Maintenance,0.65,0.2,0.2
