selected_move,Uses,AvgConfidence,UsageFraction
Tuck Tail,46,0.5568115942028985,0.21904761904761905
Pass,45,0.5504888888888888,0.21428571428571427
Bind Down,40,0.6642666666666667,0.19047619047619047
Ascension,36,0.7476296296296296,0.17142857142857143
Quick Attack,23,0.8411594202898551,0.10952380952380952
Live Coal,20,0.7253333333333334,0.09523809523809523
