turn_number,current_player,legal_moves,selected_move,raw_predicted_move,confidence,fallback_used,fallback_reason
1,Player,['Bind Down'],Bind Down,Ascension,0.564,False,
2,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.7586666666666667,False,
3,Player,['Bind Down'],Bind Down,Ascension,0.68,False,
4,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.7706666666666667,False,
5,Player,['Bind Down'],Bind Down,Ascension,0.632,False,
6,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.8973333333333333,False,
7,Player,['Bind Down'],Bind Down,Ascension,0.5013333333333333,False,
8,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.912,False,
