baseline_name,evaluated_agent_side,matches,wins,losses,score,observed_elo_difference,win_rate_ci_low,win_rate_ci_high,average_turns
Depth-6 Search Baseline,Opponent,50,16,34,0.32,-130.9435737545321,0.20758044093999403,0.45810557136276076,4.14
Depth-6 Search Baseline,Player,50,42,8,0.84,288.0637213623827,0.7148551903823401,0.9166267863791231,3.34
Greedy Damage Baseline,Opponent,50,16,34,0.32,-130.9435737545321,0.20758044093999403,0.45810557136276076,3.18
Greedy Damage Baseline,Player,50,42,8,0.84,288.0637213623827,0.7148551903823401,0.9166267863791231,3.34
Random Baseline,Opponent,50,32,18,0.64,99.95098928663998,0.5014076201030195,0.7586143703281711,3.78
Random Baseline,Player,50,46,4,0.92,424.27913614144484,0.8116149745493629,0.9684509967442093,3.42
