match_id,agent_name,baseline_name,player_card,opponent_card,starting_side,winner,turns,stop_reason,agent_result,fallback_count,elapsed_seconds,evaluated_agent_side,baseline_result,draw,competitive_win,competitive_loss
1,Competitive Policy,Random Baseline,Pikachu,Charmander,Player,Player,3,Battle reached a terminal state.,1.0,0,0.0020837000338360667,Player,0.0,False,True,False
2,Competitive Policy,Random Baseline,Charmander,Eevee,Player,Player,3,Battle reached a terminal state.,0.0,0,0.0009311999892815948,Opponent,1.0,False,False,True
3,Competitive Policy,Random Baseline,Squirtle,Charmander,Opponent,Player,4,Battle reached a terminal state.,1.0,0,0.0016246999148279428,Player,0.0,False,True,False
4,Competitive Policy,Random Baseline,Bulbasaur,Eevee,Opponent,Player,4,Battle reached a terminal state.,0.0,0,0.001438099890947342,Opponent,1.0,False,False,True
5,Competitive Policy,Random Baseline,Eevee,Charmander,Player,Player,3,Battle reached a terminal state.,1.0,0,0.0021759000374004245,Player,0.0,False,True,False
6,Competitive Policy,Random Baseline,Meowth,Eevee,Player,Player,3,Battle reached a terminal state.,0.0,0,0.001487300032749772,Opponent,1.0,False,False,True
7,Competitive Policy,Random Baseline,Pikachu,Charmander,Opponent,Player,4,Battle reached a terminal state.,1.0,0,0.002716899965889752,Player,0.0,False,True,False
8,Competitive Policy,Random Baseline,Charmander,Eevee,Opponent,Opponent,5,Battle reached a terminal state.,1.0,0,0.0037418000865727663,Opponent,0.0,False,True,False
9,Competitive Policy,Random Baseline,Squirtle,Charmander,Player,Player,3,Battle reached a terminal state.,1.0,0,0.001991199911572039,Player,0.0,False,True,False
10,Competitive Policy,Random Baseline,Bulbasaur,Eevee,Player,Player,3,Battle reached a terminal state.,0.0,0,0.0009875999530777335,Opponent,1.0,False,False,True
11,Competitive Policy,Random Baseline,Eevee,Charmander,Opponent,Opponent,3,Battle reached a terminal state.,0.0,0,0.0009437999688088894,Player,1.0,False,False,True
12,Competitive Policy,Random Baseline,Meowth,Eevee,Opponent,Opponent,3,Battle reached a terminal state.,1.0,0,0.0015042000450193882,Opponent,0.0,False,True,False
13,Competitive Policy,Random Baseline,Pikachu,Charmander,Player,Player,3,Battle reached a terminal state.,1.0,0,0.0015578999882563949,Player,0.0,False,True,False
14,Competitive Policy,Random Baseline,Charmander,Eevee,Player,Opponent,4,Battle reached a terminal state.,1.0,0,0.0017134000081568956,Opponent,0.0,False,True,False
15,Competitive Policy,Random Baseline,Squirtle,Charmander,Opponent,Player,4,Battle reached a terminal state.,1.0,0,0.0015674999449402094,Player,0.0,False,True,False
16,Competitive Policy,Random Baseline,Bulbasaur,Eevee,Opponent,Opponent,5,Battle reached a terminal state.,1.0,0,0.0022268000757321715,Opponent,0.0,False,True,False
17,Competitive Policy,Random Baseline,Eevee,Charmander,Player,Player,3,Battle reached a terminal state.,1.0,0,0.0015434999950230122,Player,0.0,False,True,False
