rank,card,battles,wins,losses,draws,win_rate
1,Charmander,6,6,0,0,1.0
2,Eevee,6,4,2,0,0.6666666666666666
3,Bulbasaur,6,2,4,0,0.3333333333333333
4,Meowth,6,0,6,0,0.0
