scenario_id,side_mode,seed,deployment_first_legal_match,deployment_max_damage_match,deployment_outcome,first_legal_outcome,max_damage_outcome,deployment_turns,first_legal_turns,max_damage_turns,deployment_total_damage,first_legal_total_damage,max_damage_total_damage
S2_BALANCED_HIGH_HP,SWAPPED,63010,True,False,PLAYER_WIN,PLAYER_WIN,PLAYER_WIN,15,15,7,225.0,225.0,210.0
S3_PLAYER_DAMAGE_ADVANTAGE,NORMAL,63001,True,False,PLAYER_WIN,PLAYER_WIN,PLAYER_WIN,9,9,5,140.0,140.0,145.0
S3_PLAYER_DAMAGE_ADVANTAGE,NORMAL,63002,True,False,PLAYER_WIN,PLAYER_WIN,PLAYER_WIN,9,9,5,140.0,140.0,145.0
S3_PLAYER_DAMAGE_ADVANTAGE,NORMAL,63003,True,False,PLAYER_WIN,PLAYER_WIN,PLAYER_WIN,9,9,5,140.0,140.0,145.0
S3_PLAYER_DAMAGE_ADVANTAGE,NORMAL,63004,True,False,PLAYER_WIN,PLAYER_WIN,PLAYER_WIN,9,9,5,140.0,140.0,145.0
S3_PLAYER_DAMAGE_ADVANTAGE,NORMAL,63005,True,False,PLAYER_WIN,PLAYER_WIN,PLAYER_WIN,9,9,5,140.0,140.0,145.0
S3_PLAYER_DAMAGE_ADVANTAGE,NORMAL,63006,True,False,PLAYER_WIN,PLAYER_WIN,PLAYER_WIN,9,9,5,140.0,140.0,145.0
S3_PLAYER_DAMAGE_ADVANTAGE,NORMAL,63007,True,False,PLAYER_WIN,PLAYER_WIN,PLAYER_WIN,9,9,5,140.0,140.0,145.0
S3_PLAYER_DAMAGE_ADVANTAGE,NORMAL,63008,True,False,PLAYER_WIN,PLAYER_WIN,PLAYER_WIN,9,9,5,140.0,140.0,145.0
S3_PLAYER_DAMAGE_ADVANTAGE,NORMAL,63009,True,False,PLAYER_WIN,PLAYER_WIN,PLAYER_WIN,9,9,5,140.0,140.0,145.0
S3_PLAYER_DAMAGE_ADVANTAGE,NORMAL,63010,True,False,PLAYER_WIN,PLAYER_WIN,PLAYER_WIN,9,9,5,140.0,140.0,145.0
S3_PLAYER_DAMAGE_ADVANTAGE,SWAPPED,63001,True,False,OPPONENT_WIN,OPPONENT_WIN,OPPONENT_WIN,10,10,6,150.0,150.0,165.0
S3_PLAYER_DAMAGE_ADVANTAGE,SWAPPED,63002,True,False,OPPONENT_WIN,OPPONENT_WIN,OPPONENT_WIN,10,10,6,150.0,150.0,165.0
S3_PLAYER_DAMAGE_ADVANTAGE,SWAPPED,63003,True,False,OPPONENT_WIN,OPPONENT_WIN,OPPONENT_WIN,10,10,6,150.0,150.0,165.0
S3_PLAYER_DAMAGE_ADVANTAGE,SWAPPED,63004,True,False,OPPONENT_WIN,OPPONENT_WIN,OPPONENT_WIN,10,10,6,150.0,150.0,165.0
S3_PLAYER_DAMAGE_ADVANTAGE,SWAPPED,63005,True,False,OPPONENT_WIN,OPPONENT_WIN,OPPONENT_WIN,10,10,6,150.0,150.0,165.0
S3_PLAYER_DAMAGE_ADVANTAGE,SWAPPED,63006,True,False,OPPONENT_WIN,OPPONENT_WIN,OPPONENT_WIN,10,10,6,150.0,150.0,165.0
S3_PLAYER_DAMAGE_ADVANTAGE,SWAPPED,63007,True,False,OPPONENT_WIN,OPPONENT_WIN,OPPONENT_WIN,10,10,6,150.0,150.0,165.0
S3_PLAYER_DAMAGE_ADVANTAGE,SWAPPED,63008,True,False,OPPONENT_WIN,OPPONENT_WIN,OPPONENT_WIN,10,10,6,150.0,150.0,165.0
S3_PLAYER_DAMAGE_ADVANTAGE,SWAPPED,63009,True,False,OPPONENT_WIN,OPPONENT_WIN,OPPONENT_WIN,10,10,6,150.0,150.0,165.0
S3_PLAYER_DAMAGE_ADVANTAGE,SWAPPED,63010,True,False,OPPONENT_WIN,OPPONENT_WIN,OPPONENT_WIN,10,10,6,150.0,150.0,165.0
S4_OPPONENT_DAMAGE_ADVANTAGE,NORMAL,63001,True,False,OPPONENT_WIN,OPPONENT_WIN,OPPONENT_WIN,10,10,6,150.0,150.0,165.0
S4_OPPONENT_DAMAGE_ADVANTAGE,NORMAL,63002,True,False,OPPONENT_WIN,OPPONENT_WIN,OPPONENT_WIN,10,10,6,150.0,150.0,165.0
S4_OPPONENT_DAMAGE_ADVANTAGE,NORMAL,63003,True,False,OPPONENT_WIN,OPPONENT_WIN,OPPONENT_WIN,10,10,6,150.0,150.0,165.0
S4_OPPONENT_DAMAGE_ADVANTAGE,NORMAL,63004,True,False,OPPONENT_WIN,OPPONENT_WIN,OPPONENT_WIN,10,10,6,150.0,150.0,165.0
S4_OPPONENT_DAMAGE_ADVANTAGE,NORMAL,63005,True,False,OPPONENT_WIN,OPPONENT_WIN,OPPONENT_WIN,10,10,6,150.0,150.0,165.0
S4_OPPONENT_DAMAGE_ADVANTAGE,NORMAL,63006,True,False,OPPONENT_WIN,OPPONENT_WIN,OPPONENT_WIN,10,10,6,150.0,150.0,165.0
S4_OPPONENT_DAMAGE_ADVANTAGE,NORMAL,63007,True,False,OPPONENT_WIN,OPPONENT_WIN,OPPONENT_WIN,10,10,6,150.0,150.0,165.0
S4_OPPONENT_DAMAGE_ADVANTAGE,NORMAL,63008,True,False,OPPONENT_WIN,OPPONENT_WIN,OPPONENT_WIN,10,10,6,150.0,150.0,165.0
S4_OPPONENT_DAMAGE_ADVANTAGE,NORMAL,63009,True,False,OPPONENT_WIN,OPPONENT_WIN,OPPONENT_WIN,10,10,6,150.0,150.0,165.0
S4_OPPONENT_DAMAGE_ADVANTAGE,NORMAL,63010,True,False,OPPONENT_WIN,OPPONENT_WIN,OPPONENT_WIN,10,10,6,150.0,150.0,165.0
S4_OPPONENT_DAMAGE_ADVANTAGE,SWAPPED,63001,True,False,PLAYER_WIN,PLAYER_WIN,PLAYER_WIN,9,9,5,140.0,140.0,145.0
S4_OPPONENT_DAMAGE_ADVANTAGE,SWAPPED,63002,True,False,PLAYER_WIN,PLAYER_WIN,PLAYER_WIN,9,9,5,140.0,140.0,145.0
S4_OPPONENT_DAMAGE_ADVANTAGE,SWAPPED,63003,True,False,PLAYER_WIN,PLAYER_WIN,PLAYER_WIN,9,9,5,140.0,140.0,145.0
S4_OPPONENT_DAMAGE_ADVANTAGE,SWAPPED,63004,True,False,PLAYER_WIN,PLAYER_WIN,PLAYER_WIN,9,9,5,140.0,140.0,145.0
S4_OPPONENT_DAMAGE_ADVANTAGE,SWAPPED,63005,True,False,PLAYER_WIN,PLAYER_WIN,PLAYER_WIN,9,9,5,140.0,140.0,145.0
S4_OPPONENT_DAMAGE_ADVANTAGE,SWAPPED,63006,True,False,PLAYER_WIN,PLAYER_WIN,PLAYER_WIN,9,9,5,140.0,140.0,145.0
S4_OPPONENT_DAMAGE_ADVANTAGE,SWAPPED,63007,True,False,PLAYER_WIN,PLAYER_WIN,PLAYER_WIN,9,9,5,140.0,140.0,145.0
S4_OPPONENT_DAMAGE_ADVANTAGE,SWAPPED,63008,True,False,PLAYER_WIN,PLAYER_WIN,PLAYER_WIN,9,9,5,140.0,140.0,145.0
S4_OPPONENT_DAMAGE_ADVANTAGE,SWAPPED,63009,True,False,PLAYER_WIN,PLAYER_WIN,PLAYER_WIN,9,9,5,140.0,140.0,145.0
S4_OPPONENT_DAMAGE_ADVANTAGE,SWAPPED,63010,True,False,PLAYER_WIN,PLAYER_WIN,PLAYER_WIN,9,9,5,140.0,140.0,145.0
