starting_side,current_player,turn_number,legal_moves,historical_move,controlled_move,same_move,historical_score,controlled_score,historical_confidence,controlled_confidence,historical_fallback,controlled_fallback,historical_reason,controlled_reason
Player,Player,1,"['Tail Whap', 'Bite']",Tail Whap,Bite,False,1.0,0.676,1.0,0.676,True,False,R3 legality fallback used because no model probability mass covered legal actions.,Certified 11-class model selected highest-probability simulator-legal move.
Opponent,Opponent,1,"['Scratch', 'Flame Tail']",Scratch,Flame Tail,False,1.0,0.584,1.0,0.584,True,False,R3 legality fallback used because no model probability mass covered legal actions.,Certified 11-class model selected highest-probability simulator-legal move.
