selected_move,Uses,AvgConfidence
Tuck Tail,46,0.5568115942028985
Pass,45,0.5504888888888888
Bind Down,40,0.6642666666666667
Ascension,36,0.7476296296296296
Quick Attack,23,0.8411594202898551
Live Coal,20,0.7253333333333334
