condition_id,Battles,PlayerWins,OpponentWins,Draws,AvgTurns,AvgConfidence,AvgMasking,AvgFallback,PlayerWinRate,OpponentWinRate
BASELINE,8,2,6,0,7.0,0.772234613997114,0.5660714285714286,0.011363636363636364,0.25,0.75
ENERGY_PRESSURE,8,5,0,3,15.5,0.6499101851851852,0.6444444444444444,0.0,0.625,0.0
HP_PRESSURE,8,0,8,0,3.75,0.7810138888888889,0.5208333333333333,0.0,0.0,1.0
