dataset_split,scenario_count,scenario_fraction,row_count,row_fraction,sample_weight_sum,sample_weight_mean
train,74,0.6981132075471698,740,0.6981132075471698,1081.2119999999998,1.4610972972972969
validation,16,0.1509433962264151,160,0.1509433962264151,232.683,1.45426875
test,16,0.1509433962264151,160,0.1509433962264151,227.293,1.4205812500000001
