routing_reason,decisions,legal_routed_moves,matches_existing_selection,average_confidence,decision_fraction,legal_route_rate,existing_selection_match_rate
ONLY_LEGAL_MOVE,187,187,187,0.6330338680926916,0.8904761904761904,1.0,1.0
RAW_MODEL_PREDICTION_LEGAL,23,23,23,0.8411594202898551,0.10952380952380952,1.0,1.0
