policy_action,available_decisions,availability_rate,raw_predictions,final_selections,routed_selections
Ascension,59,0.28095238095238095,187,36,36
Bind Down,40,0.19047619047619047,0,40,40
Live Coal,20,0.09523809523809523,0,20,20
Pass,45,0.21428571428571427,0,45,45
Quick Attack,23,0.10952380952380952,23,23,23
Tuck Tail,46,0.21904761904761905,0,46,46
