selected_move,selections,masked_selections,fallbacks,average_confidence,average_selected_probability,selection_fraction,masked_selection_rate
Tuck Tail,46,46,0,0.5568115942028985,0.04565217391304342,0.21904761904761905,1.0
Pass,45,45,0,0.5504888888888888,0.2454518518518518,0.21428571428571427,1.0
Bind Down,40,40,1,0.6642666666666667,0.0677333333333333,0.19047619047619047,1.0
Ascension,36,0,0,0.7476296296296296,0.7476296296296296,0.17142857142857143,0.0
Quick Attack,23,0,0,0.8411594202898551,0.8411594202898551,0.10952380952380952,0.0
Live Coal,20,20,0,0.7253333333333334,0.08139999999999996,0.09523809523809523,1.0
