single_legal_move,legal_move_count_recomputed,decisions,masked_decisions,legal_raw_predictions,fallback_decisions,average_confidence,average_legal_move_count,masking_rate,raw_legality_rate,fallback_rate
True,1,187,151,36,1,0.6330338680926916,1.0,0.8074866310160428,0.1925133689839572,0.0053475935828877
False,2,23,0,23,0,0.8411594202898551,2.0,0.0,1.0,0.0
