battle_phase,decisions,masked_decisions,legal_raw_predictions,fallback_decisions,average_confidence,average_legal_move_count,masking_rate,raw_legality_rate,fallback_rate
LATE,111,86,25,0,0.5862822822822822,1.045045045045045,0.7747747747747747,0.22522522522522523,0.0
MID,73,48,25,0,0.7312511415525114,1.1643835616438356,0.6575342465753424,0.3424657534246575,0.0
EARLY,26,17,9,1,0.740974358974359,1.2307692307692308,0.6538461538461539,0.34615384615384615,0.038461538461538464
