player_card,decisions,masking_changes,fallbacks,average_confidence,masking_rate,fallback_rate
Meowth,94,94,1,0.5716737588652482,1.0,0.010638297872340425
Charmander,29,15,0,0.7485057471264368,0.5172413793103449,0.0
Eevee,40,20,0,0.6982999999999999,0.5,0.0
Bulbasaur,47,22,0,0.7308085106382979,0.46808510638297873,0.0
