condition_id,decisions,masking_changes,fallbacks,average_confidence,average_legal_move_count,masking_rate,fallback_rate
BASELINE,56,39,1,0.7357380952380952,1.25,0.6964285714285714,0.017857142857142856
ENERGY_PRESSURE,124,93,0,0.5965913978494624,1.0,0.75,0.0
HP_PRESSURE,30,19,0,0.751511111111111,1.3,0.6333333333333333,0.0
