confidence_band,decisions,masked_decisions,legal_raw_predictions,fallback_decisions,average_confidence,average_legal_move_count,masking_rate,raw_legality_rate,fallback_rate
LOW,61,60,1,0,0.4933333333333333,1.0,0.9836065573770492,0.01639344262295082,0.0
MEDIUM,87,69,18,1,0.6422528735632184,1.0229885057471264,0.7931034482758621,0.20689655172413793,0.011494252873563218
HIGH,62,22,40,0,0.834752688172043,1.3387096774193548,0.3548387096774194,0.6451612903225806,0.0
