condition_id,decisions,masked_decisions,legal_raw_predictions,fallback_decisions,average_confidence,average_legal_move_count,masking_rate,raw_legality_rate,fallback_rate
ENERGY_PRESSURE,124,93,31,0,0.5965913978494624,1.0,0.75,0.25,0.0
BASELINE,56,39,17,1,0.7357380952380952,1.25,0.6964285714285714,0.30357142857142855,0.017857142857142856
HP_PRESSURE,30,19,11,0,0.751511111111111,1.3,0.6333333333333333,0.36666666666666664,0.0
