epoch,train_loss,train_top1_accuracy,train_top2_accuracy,validation_loss,validation_top1_accuracy,validation_top2_accuracy,validation_multi_action_accuracy,validation_multi_action_loss,validation_confidence,validation_margin,learning_rate,epoch_seconds
20,0.32977319535473487,0.7947658402203857,1.0,0.3321848303487856,0.8013698630136986,1.0,0.7184466019417476,0.4708639117120539,0.7855342316300902,0.5710684632601803,0.00020553462062635933,0.21637259994167835
21,0.32637868131980424,0.7988980716253443,1.0,0.3298136195907854,0.8013698630136986,1.0,0.7184466019417476,0.46750283096600503,0.7841011596052614,0.5682022571563721,0.0001966980406590546,0.2154160999925807
22,0.32310895839341747,0.7975206611570248,1.0,0.32876781037409014,0.8013698630136986,1.0,0.7184466019417476,0.4660203911147071,0.7918212642408398,0.583642593801838,0.00018767913813114574,0.22891920001711696
23,0.31956375564753847,0.7975206611570248,1.0,0.32664095743061744,0.815068493150685,1.0,0.7378640776699029,0.4630056278219501,0.7825915323544855,0.5651830516449393,0.00017851350653056583,0.2371605000225827
24,0.3184100539723704,0.800275482093664,1.0,0.32460819409318165,0.8082191780821918,1.0,0.7281553398058253,0.4601242197948752,0.7867104909191392,0.5734210177643658,0.0001692373184178635,0.2234068000689149
25,0.31559111485796526,0.803030303030303,1.0,0.32334494141683184,0.8082191780821918,1.0,0.7281553398058253,0.4583335906556509,0.7861464970732388,0.5722930170085332,0.00015988718266963235,0.21988930006045848
26,0.31412132663175096,0.803030303030303,1.0,0.3218714517273315,0.821917808219178,1.0,0.7475728155339806,0.45624501265368417,0.786669234706931,0.5733384367537825,0.0001505,0.2536963000893593
27,0.3124906415781699,0.8168044077134986,1.0,0.3207294912370917,0.821917808219178,1.0,0.7475728155339806,0.4546262526396409,0.7853678350579248,0.5707357191059688,0.00014111281733036765,0.2080599000910297
28,0.3112993971046994,0.8126721763085399,1.0,0.3194041035763205,0.8287671232876712,1.0,0.7572815533980582,0.4527475645819914,0.7896573184287712,0.5793146074634709,0.00013176268158213652,0.19833699997980148
29,0.3099791433036163,0.8443526170798898,1.0,0.3187590339412428,0.8287671232876712,1.0,0.7572815533980582,0.4518331717518927,0.7891557967826112,0.5783116000972383,0.00012248649346943417,0.22368619998451322
30,0.3083216548787004,0.8305785123966942,1.0,0.3180236673518403,0.8287671232876712,1.0,0.7572815533980582,0.45079080572406066,0.7905710168080787,0.5811420270841415,0.0001133208618688542,0.22268979996442795
31,0.3069676632066732,0.8484848484848485,1.0,0.3172761071218203,0.8287671232876712,1.0,0.7572815533980582,0.44973118183682265,0.7898124538055838,0.5796249206751993,0.00010430195934094542,0.2144779999507591
32,0.30584910208200294,0.8471074380165289,1.0,0.31652112448052183,0.821917808219178,1.0,0.7475728155339806,0.44866101284628934,0.791988777787718,0.5839774967872933,9.546537937364069e-05,0.22347670001909137
33,0.3050292682713385,0.8471074380165289,1.0,0.3159340371007789,0.821917808219178,1.0,0.7475728155339806,0.4478288130852783,0.7922339831313042,0.5844680315827671,8.684599591102163e-05,0.23320610006339848
34,0.3040672930639966,0.849862258953168,1.0,0.3154571203336324,0.821917808219178,1.0,0.7475728155339806,0.44715280440247174,0.7929697493984275,0.5859394726687914,7.847782572179354e-05,0.23943600000347942
35,0.3034691327859548,0.8512396694214877,1.0,0.3148804772390078,0.821917808219178,1.0,0.7475728155339806,0.4463354343349494,0.7938805867547858,0.5877612127016668,7.039389415063997e-05,0.2228102000663057
36,0.30285927866772844,0.8526170798898072,1.0,0.31451618793892533,0.821917808219178,1.0,0.7475728155339806,0.4458190683022286,0.7939449597711432,0.5878899293403103,6.262610478227528e-05,0.20393369998782873
37,0.30207023693674523,0.8512396694214877,1.0,0.31423924108074136,0.821917808219178,1.0,0.7475728155339806,0.4454264985126199,0.7938854727026534,0.5877708964151879,5.520511353257088e-05,0.20376880001276731
38,0.3016706265037053,0.8512396694214877,1.0,0.31386109043474064,0.8287671232876712,1.0,0.7572815533980582,0.44489049274944564,0.7948667839781879,0.5897335777543995,4.8160207663661033e-05,0.2070702000055462
39,0.3012951843994708,0.8526170798898072,1.0,0.31360578577812404,0.8356164383561644,1.0,0.7669902912621359,0.4445285750824271,0.7941694586244348,0.5883388388646792,4.151919020049901e-05,0.20401829993352294
40,0.30083820174548254,0.8526170798898072,1.0,0.3134805160026028,0.8356164383561644,1.0,0.7669902912621359,0.44435104930285113,0.7948034626163848,0.5896068958386983,3.530827020501952e-05,0.20572339999489486
41,0.3004496586060064,0.8553719008264463,1.0,0.3132980433228898,0.8356164383561644,1.0,0.7669902912621359,0.4440923859772173,0.7946914973324293,0.5893829881328426,2.9551959340945373e-05,0.2037000999553129
42,0.30020800602337544,0.8553719008264463,1.0,0.31312982758430585,0.8356164383561644,1.0,0.7669902912621359,0.4438539251540471,0.794897438728646,0.5897947794770542,2.427297513744878e-05,0.22951760003343225
43,0.3000295508663188,0.8581267217630854,1.0,0.31303130355599806,0.8493150684931506,1.0,0.7864077669902912,0.44371429635483084,0.7949891743594653,0.5899784009750575,1.9492151333442396e-05,0.21390730002894998
44,0.29984006507337585,0.8567493112947658,1.0,0.31293055945879794,0.8493150684931506,1.0,0.7864077669902912,0.44357150908812737,0.7951205985186851,0.5902412035693861,1.5228355656330108e-05,0.20069369999691844
45,0.29971784648816446,0.859504132231405,1.0,0.31285886772691385,0.8493150684931506,1.0,0.7864077669902912,0.4434698403460308,0.7952491681869716,0.5904983167778955,1.1498415359706425e-05,0.2018526999745518
46,0.29961023005572235,0.8567493112947658,1.0,0.31282556138626516,0.8493150684931506,1.0,0.7864077669902912,0.4434226762901232,0.7953752556892291,0.5907505113784581,8.317050813874547e-06,0.19964010000694543
47,0.2995495050735053,0.8567493112947658,1.0,0.31280240375701696,0.8493150684931506,1.0,0.7864077669902912,0.44338979420152685,0.795439308636809,0.5908786662637371,5.69681741126967e-06,0.201380499987863
48,0.2995010418996995,0.8581267217630854,1.0,0.3127779389080936,0.8493150684931506,1.0,0.7864077669902912,0.44335513178584646,0.7953861314956456,0.5907722042031485,3.648056016061036e-06,0.20213999995030463
49,0.2994648406574549,0.8581267217630854,1.0,0.31276263643617497,0.8493150684931506,1.0,0.7864077669902912,0.44333343164434713,0.7954011224720576,0.5908022906682263,2.1788521534855743e-06,0.20948920003138483
50,0.29944666333434994,0.8581267217630854,1.0,0.3127547539260289,0.8493150684931506,1.0,0.7864077669902912,0.44332231769284,0.7954219269425902,0.5908438865452597,1.295004099973402e-06,0.20064069994259626
