epoch,train_loss,train_top1_accuracy,train_top2_accuracy,validation_loss,validation_top1_accuracy,validation_top2_accuracy,validation_multi_action_accuracy,validation_multi_action_loss,validation_confidence,validation_margin,learning_rate,epoch_seconds
1,0.4630906708312757,0.7617079889807162,1.0,0.4639320430690295,0.773972602739726,1.0,0.6796116504854369,0.6576124250310139,0.6667894663876051,0.3335788715375613,0.0003,0.2086301000090316
2,0.4442202345398832,0.7617079889807162,1.0,0.4365939702073189,0.773972602739726,1.0,0.6796116504854369,0.6188613818687143,0.6918519882306661,0.38370396666330836,0.0002997049959000266,0.20927980006672442
3,0.4191827428406592,0.7617079889807162,1.0,0.4064976581155437,0.773972602739726,1.0,0.6796116504854369,0.5762005685602577,0.7268777612137468,0.4537555599865848,0.00029882114784651444,0.20255809999071062
4,0.3988103550491911,0.7617079889807162,1.0,0.38730516172435187,0.773972602739726,1.0,0.6796116504854369,0.548995676549893,0.7604834282234924,0.5209668270529133,0.00029735194398393893,0.23594330006744713
5,0.39154939661341265,0.7617079889807162,1.0,0.3823397306546773,0.773972602739726,1.0,0.6796116504854369,0.5419572510765595,0.7727072598182991,0.5454144706464794,0.0002953031825887303,0.23016520007513463
6,0.3899907193072243,0.7617079889807162,1.0,0.3803096879018496,0.773972602739726,1.0,0.6796116504854369,0.5390797280570836,0.7774961223341015,0.5549922185401394,0.0002926829491861254,0.2230816000374034
7,0.38873273528311864,0.7617079889807162,1.0,0.3786369856089762,0.773972602739726,1.0,0.6796116504854369,0.5367087669742917,0.776720451982054,0.5534408647720128,0.00028950158464029354,0.23796639998909086
8,0.3856883244409377,0.7617079889807162,1.0,0.3773336014518999,0.773972602739726,1.0,0.6796116504854369,0.5348612099017912,0.7737794640946062,0.5475589085931647,0.00028577164434366993,0.19523050007410347
9,0.3825478788578149,0.7617079889807162,1.0,0.3756324681517196,0.773972602739726,1.0,0.6796116504854369,0.5324499051547745,0.771718240764043,0.5434365370502211,0.00028150784866655756,0.1981144999153912
10,0.37880728617515774,0.7617079889807162,1.0,0.3728612473566238,0.773972602739726,1.0,0.6796116504854369,0.5285217727272256,0.7717419193215567,0.543483851707145,0.00027672702486255125,0.21251830004621297
11,0.3739012011811753,0.7617079889807162,1.0,0.36915478477739305,0.773972602739726,1.0,0.6796116504854369,0.5232679965426621,0.772393572820376,0.544787145640752,0.0002714480406590546,0.20772330008912832
12,0.3682862938107209,0.7617079889807162,1.0,0.3643833627439525,0.773972602739726,1.0,0.6796116504854369,0.5165045602807721,0.7762395388459506,0.5524791495440757,0.00026569172979498044,0.21204499993473291
13,0.3621792345007589,0.7617079889807162,1.0,0.35973097690164224,0.773972602739726,1.0,0.6796116504854369,0.5099099110631109,0.7784702026680724,0.5569403792080814,0.000259480809799501,0.22804249997716397
14,0.35676362683621976,0.7617079889807162,1.0,0.35537333521124437,0.773972602739726,1.0,0.6796116504854369,0.5037330857758383,0.775579818307537,0.5511596366150738,0.00025283979233633894,0.2249854999827221
15,0.3509418017772275,0.7617079889807162,1.0,0.35083504980557584,0.773972602739726,1.0,0.6796116504854369,0.4973001980665818,0.7813816985038862,0.5627634035397883,0.0002457948864674291,0.22948930005077273
16,0.34541407523076395,0.7617079889807162,1.0,0.3458039201285741,0.773972602739726,1.0,0.6796116504854369,0.49016866898073735,0.782770862318065,0.5655417866902809,0.00023837389521772474,0.2030061000259593
17,0.3405930525507809,0.7630853994490359,1.0,0.3413774003721263,0.7808219178082192,1.0,0.6893203883495146,0.48389417598548445,0.7837997201370867,0.5675994468061891,0.00023060610584935996,0.2129598999163136
18,0.3369690763556268,0.7823691460055097,1.0,0.337497888362571,0.7945205479452054,1.0,0.7087378640776699,0.47839506303222434,0.78083599430241,0.5616720996490897,0.0002225221742782064,0.2240365999750793
19,0.3319763349928475,0.7933884297520661,1.0,0.33476027519735574,0.8013698630136986,1.0,0.7184466019417476,0.4745145587666521,0.7852443211699185,0.5704885835516943,0.00021415400408897832,0.24357189994771034
