agent_variant,battle_id,checkpoint_sha256,mean_damage_per_move,normalized_outcome,opponent_final_hp,player_final_hp,policy_score_max,policy_score_mean,policy_score_min,positive_damage_move_count,positive_damage_move_rate,runtime_exception,runtime_exception_message,runtime_exception_type,scenario_id,seed,side_mode,stop_reason,total_damage,total_moves,turn_count,unknown_move_count,unknown_move_rate,winner,zero_damage_move_count,zero_damage_move_rate
DEPLOYMENT_POLICY,NB63C_0019,4e6a19861eb5be5f61bc86508dff07dd838a42df9350355d95e8f2dc436ae787,10.0,PLAYER_WIN,0.0,10.0,,,,11,1.0,False,,,S1_BALANCED_LOW_HP,63009,SWAPPED,Battle reached a terminal state.,110.0,11,11,0,0.0,Player,0,0.0
DEPLOYMENT_POLICY,NB63C_0020,4e6a19861eb5be5f61bc86508dff07dd838a42df9350355d95e8f2dc436ae787,10.0,PLAYER_WIN,0.0,10.0,,,,11,1.0,False,,,S1_BALANCED_LOW_HP,63010,SWAPPED,Battle reached a terminal state.,110.0,11,11,0,0.0,Player,0,0.0
DEPLOYMENT_POLICY,NB63C_0021,4e6a19861eb5be5f61bc86508dff07dd838a42df9350355d95e8f2dc436ae787,15.0,PLAYER_WIN,0.0,15.0,,,,15,1.0,False,,,S2_BALANCED_HIGH_HP,63001,NORMAL,Battle reached a terminal state.,225.0,15,15,0,0.0,Player,0,0.0
DEPLOYMENT_POLICY,NB63C_0022,4e6a19861eb5be5f61bc86508dff07dd838a42df9350355d95e8f2dc436ae787,15.0,PLAYER_WIN,0.0,15.0,,,,15,1.0,False,,,S2_BALANCED_HIGH_HP,63002,NORMAL,Battle reached a terminal state.,225.0,15,15,0,0.0,Player,0,0.0
DEPLOYMENT_POLICY,NB63C_0023,4e6a19861eb5be5f61bc86508dff07dd838a42df9350355d95e8f2dc436ae787,15.0,PLAYER_WIN,0.0,15.0,,,,15,1.0,False,,,S2_BALANCED_HIGH_HP,63003,NORMAL,Battle reached a terminal state.,225.0,15,15,0,0.0,Player,0,0.0
DEPLOYMENT_POLICY,NB63C_0024,4e6a19861eb5be5f61bc86508dff07dd838a42df9350355d95e8f2dc436ae787,15.0,PLAYER_WIN,0.0,15.0,,,,15,1.0,False,,,S2_BALANCED_HIGH_HP,63004,NORMAL,Battle reached a terminal state.,225.0,15,15,0,0.0,Player,0,0.0
DEPLOYMENT_POLICY,NB63C_0025,4e6a19861eb5be5f61bc86508dff07dd838a42df9350355d95e8f2dc436ae787,15.0,PLAYER_WIN,0.0,15.0,,,,15,1.0,False,,,S2_BALANCED_HIGH_HP,63005,NORMAL,Battle reached a terminal state.,225.0,15,15,0,0.0,Player,0,0.0
DEPLOYMENT_POLICY,NB63C_0026,4e6a19861eb5be5f61bc86508dff07dd838a42df9350355d95e8f2dc436ae787,15.0,PLAYER_WIN,0.0,15.0,,,,15,1.0,False,,,S2_BALANCED_HIGH_HP,63006,NORMAL,Battle reached a terminal state.,225.0,15,15,0,0.0,Player,0,0.0
DEPLOYMENT_POLICY,NB63C_0027,4e6a19861eb5be5f61bc86508dff07dd838a42df9350355d95e8f2dc436ae787,15.0,PLAYER_WIN,0.0,15.0,,,,15,1.0,False,,,S2_BALANCED_HIGH_HP,63007,NORMAL,Battle reached a terminal state.,225.0,15,15,0,0.0,Player,0,0.0
DEPLOYMENT_POLICY,NB63C_0028,4e6a19861eb5be5f61bc86508dff07dd838a42df9350355d95e8f2dc436ae787,15.0,PLAYER_WIN,0.0,15.0,,,,15,1.0,False,,,S2_BALANCED_HIGH_HP,63008,NORMAL,Battle reached a terminal state.,225.0,15,15,0,0.0,Player,0,0.0
DEPLOYMENT_POLICY,NB63C_0029,4e6a19861eb5be5f61bc86508dff07dd838a42df9350355d95e8f2dc436ae787,15.0,PLAYER_WIN,0.0,15.0,,,,15,1.0,False,,,S2_BALANCED_HIGH_HP,63009,NORMAL,Battle reached a terminal state.,225.0,15,15,0,0.0,Player,0,0.0
DEPLOYMENT_POLICY,NB63C_0030,4e6a19861eb5be5f61bc86508dff07dd838a42df9350355d95e8f2dc436ae787,15.0,PLAYER_WIN,0.0,15.0,,,,15,1.0,False,,,S2_BALANCED_HIGH_HP,63010,NORMAL,Battle reached a terminal state.,225.0,15,15,0,0.0,Player,0,0.0
DEPLOYMENT_POLICY,NB63C_0031,4e6a19861eb5be5f61bc86508dff07dd838a42df9350355d95e8f2dc436ae787,15.0,PLAYER_WIN,0.0,15.0,,,,15,1.0,False,,,S2_BALANCED_HIGH_HP,63001,SWAPPED,Battle reached a terminal state.,225.0,15,15,0,0.0,Player,0,0.0
