scenario_id,condition_id,turn_number,current_side,active_card,legal_move_signature,legal_move_count,notebook52_raw_prediction,notebook52_selected_move,notebook52_raw_prediction_legal,notebook52_masking_changed_action,notebook53_raw_prediction,notebook53_raw_confidence,notebook53_raw_prediction_legal,notebook53_routed_move,notebook53_routing_reason,notebook53_model_used,notebook53_matches_notebook52_selection,notebook53_raw_masking_required,notebook53_routed_move_legal,action_state_type
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,8.0,Opponent,Bulbasaur,pass,1.0,Ascension,Pass,False,True,Pass,0.7,True,Pass,ONLY_LEGAL_MOVE,False,True,False,True,SINGLE_ACTION
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,9.0,Player,Meowth,tuck tail,1.0,Ascension,Tuck Tail,False,True,Pass,0.344,False,Tuck Tail,ONLY_LEGAL_MOVE,False,True,True,True,SINGLE_ACTION
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,10.0,Opponent,Bulbasaur,pass,1.0,Ascension,Pass,False,True,Pass,0.7,True,Pass,ONLY_LEGAL_MOVE,False,True,False,True,SINGLE_ACTION
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,11.0,Player,Meowth,tuck tail,1.0,Ascension,Tuck Tail,False,True,Pass,0.344,False,Tuck Tail,ONLY_LEGAL_MOVE,False,True,True,True,SINGLE_ACTION
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,12.0,Opponent,Bulbasaur,pass,1.0,Ascension,Pass,False,True,Pass,0.7,True,Pass,ONLY_LEGAL_MOVE,False,True,False,True,SINGLE_ACTION
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,13.0,Player,Meowth,tuck tail,1.0,Ascension,Tuck Tail,False,True,Pass,0.344,False,Tuck Tail,ONLY_LEGAL_MOVE,False,True,True,True,SINGLE_ACTION
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,14.0,Opponent,Bulbasaur,pass,1.0,Ascension,Pass,False,True,Pass,0.7,True,Pass,ONLY_LEGAL_MOVE,False,True,False,True,SINGLE_ACTION
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,15.0,Player,Meowth,tuck tail,1.0,Ascension,Tuck Tail,False,True,Pass,0.344,False,Tuck Tail,ONLY_LEGAL_MOVE,False,True,True,True,SINGLE_ACTION
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,16.0,Opponent,Bulbasaur,pass,1.0,Ascension,Pass,False,True,Pass,0.7,True,Pass,ONLY_LEGAL_MOVE,False,True,False,True,SINGLE_ACTION
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,17.0,Player,Meowth,tuck tail,1.0,Ascension,Tuck Tail,False,True,Pass,0.344,False,Tuck Tail,ONLY_LEGAL_MOVE,False,True,True,True,SINGLE_ACTION
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,18.0,Opponent,Bulbasaur,pass,1.0,Ascension,Pass,False,True,Pass,0.7,True,Pass,ONLY_LEGAL_MOVE,False,True,False,True,SINGLE_ACTION
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,19.0,Player,Meowth,tuck tail,1.0,Ascension,Tuck Tail,False,True,Pass,0.344,False,Tuck Tail,ONLY_LEGAL_MOVE,False,True,True,True,SINGLE_ACTION
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,20.0,Opponent,Bulbasaur,pass,1.0,Ascension,Pass,False,True,Pass,0.7,True,Pass,ONLY_LEGAL_MOVE,False,True,False,True,SINGLE_ACTION
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,21.0,Player,Meowth,tuck tail,1.0,Ascension,Tuck Tail,False,True,Pass,0.344,False,Tuck Tail,ONLY_LEGAL_MOVE,False,True,True,True,SINGLE_ACTION
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,22.0,Opponent,Bulbasaur,pass,1.0,Ascension,Pass,False,True,Pass,0.7,True,Pass,ONLY_LEGAL_MOVE,False,True,False,True,SINGLE_ACTION
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,23.0,Player,Meowth,tuck tail,1.0,Ascension,Tuck Tail,False,True,Pass,0.344,False,Tuck Tail,ONLY_LEGAL_MOVE,False,True,True,True,SINGLE_ACTION
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,24.0,Opponent,Bulbasaur,pass,1.0,Ascension,Pass,False,True,Pass,0.7,True,Pass,ONLY_LEGAL_MOVE,False,True,False,True,SINGLE_ACTION
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,25.0,Player,Meowth,tuck tail,1.0,Ascension,Tuck Tail,False,True,Pass,0.344,False,Tuck Tail,ONLY_LEGAL_MOVE,False,True,True,True,SINGLE_ACTION
