condition_id,battles,player_wins,opponent_wins,draws,average_turns,policy_decisions,single_action_direct_decisions,model_decisions,selector_decisions,fallback_decisions,player_win_rate
BASELINE,8,2,6,0,7.0,56,42,14,0,0,0.25
ENERGY_PRESSURE,8,5,0,3,15.5,124,124,0,0,0,0.625
HP_PRESSURE,8,0,8,0,3.75,30,21,9,0,0,0.0
