active_card,decisions,notebook52_legal_predictions,notebook53_legal_predictions,notebook52_masking_changes,notebook53_masking_required,notebook53_selection_matches,notebook53_average_confidence,notebook52_raw_legality_rate,notebook53_raw_legality_rate,notebook52_masking_rate,notebook53_masking_rate,notebook53_selection_agreement_rate
Bulbasaur,70,0,70,70,0,70,0.6956,0.0,1.0,1.0,0.0,1.0
Charmander,35,0,35,35,0,35,0.7474285714285714,0.0,1.0,1.0,0.0,1.0
Eevee,59,59,59,0,0,59,0.9167457627118645,1.0,1.0,0.0,0.0,1.0
Meowth,46,0,10,46,36,46,0.3366521739130435,0.0,0.21739130434782608,1.0,0.782608695652174,1.0
