notebook53_routing_reason,decisions,legal_raw_predictions,selection_matches,average_confidence,decision_fraction,selection_agreement_rate
LEGAL_MODEL_PREDICTION,23,23,23,0.8723478260869565,0.10952380952380952,1.0
ONLY_LEGAL_MOVE,187,151,187,0.6650374331550802,0.8904761904761904,1.0
