split,action_state_type,examples,accuracy,prediction_legality_rate,illegal_predictions
Training,MULTI_ACTION,252,1.0,1.0,0
Training,SINGLE_ACTION,588,1.0,1.0,0
Validation,MULTI_ACTION,33,1.0,1.0,0
Validation,SINGLE_ACTION,77,1.0,1.0,0
Test,MULTI_ACTION,33,1.0,1.0,0
Test,SINGLE_ACTION,77,1.0,1.0,0
