metric,value
source_dataset_rows,1060.0
raw_feature_count,41.0
encoded_feature_count,64.0
training_rows,840.0
validation_rows,110.0
test_rows,110.0
validation_accuracy,1.0
test_accuracy,1.0
notebook52_raw_legality_rate,0.28095238095238095
notebook53_raw_legality_rate,0.8285714285714286
notebook52_masking_rate,0.719047619047619
notebook53_raw_masking_rate,0.17142857142857143
production_adapter_legality_rate,1.0
tournament_battles,24.0
tournament_policy_decisions,210.0
single_action_direct_decisions,187.0
multi_action_model_decisions,23.0
selector_decisions,0.0
fallback_decisions,0.0
winner_agreement_rate,1.0
turn_count_agreement_rate,1.0
