strategy,feature_family,removed_features
R0_CURRENT_BASELINE,None,0
R1_REMOVE_LEGAL_SIGNATURE,categorical,6
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,categorical,6
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,numeric,6
R3_STATE_CENTRIC_POLICY,categorical,6
R3_STATE_CENTRIC_POLICY,numeric,12
