strategy_a,strategy_b,mean_probability_difference,maximum_probability_difference,rms_difference,changed_probability_values,largest_case_difference
R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.024539855072463767,0.118,0.04461445141837249,745,0.118
R0_CURRENT_BASELINE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,0.01930072463768116,0.094,0.03262700935008348,772,0.094
R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.036655797101449276,0.168,0.0631869781117799,806,0.168
R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,0.007137681159420288,0.05199999999999999,0.014704085994292066,660,0.05199999999999999
R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,0.01326811594202899,0.07800000000000007,0.02375966622514793,710,0.07800000000000007
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,0.018347826086956523,0.07600000000000007,0.03155705667654948,634,0.07600000000000007
