strategy,feature_count,removed_feature_count,retained_feature_count,removed_features,retained_features
R0_CURRENT_BASELINE,64,0,64,[],"['categorical__active_card_Bulbasaur', 'categorical__active_card_Charmander', 'categorical__active_card_Eevee', 'categorical__active_card_Meowth', 'categorical__battle_phase_EARLY', 'categorical__battle_phase_LATE', 'categorical__battle_phase_MID', 'categorical__current_side_Opponent', 'categorical__current_side_Player', 'categorical__damage_band_HIGH_DAMAGE', 'categorical__damage_band_LOW_DAMAGE', 'categorical__damage_band_MEDIUM_DAMAGE', 'categorical__energy_band_LOW', 'categorical__energy_band_READY', 'categorical__energy_band_ZERO', 'categorical__inactive_card_Bulbasaur', 'categorical__inactive_card_Charmander', 'categorical__inactive_card_Eevee', 'categorical__inactive_card_Meowth', 'categorical__legal_move_signature_ascension', 'categorical__legal_move_signature_ascension | quick attack', 'categorical__legal_move_signature_bind down', 'categorical__legal_move_signature_live coal', 'categorical__legal_move_signature_pass', 'categorical__legal_move_signature_tuck tail', 'categorical__opponent_card_Charmander', 'categorical__opponent_card_Eevee', 'categorical__player_card_Bulbasaur', 'categorical__player_card_Charmander', 'categorical__player_card_Eevee', 'categorical__player_card_Meowth', 'categorical__side_mode_FLIP', 'categorical__side_mode_PRESERVE', 'numeric__absolute_damage_difference', 'numeric__absolute_energy_difference', 'numeric__acting_damage', 'numeric__acting_energy', 'numeric__active_card_can_use__ascension', 'numeric__active_card_can_use__bind_down', 'numeric__active_card_can_use__live_coal', 'numeric__active_card_can_use__pass', 'numeric__active_card_can_use__quick_attack', 'numeric__active_card_can_use__tuck_tail', 'numeric__damage_difference', 'numeric__defending_damage', 'numeric__defending_energy', 'numeric__energy_difference', 'numeric__hand_size', 'numeric__is_legal__ascension', 'numeric__is_legal__bind_down', 'numeric__is_legal__live_coal', 'numeric__is_legal__pass', 'numeric__is_legal__quick_attack', 'numeric__is_legal__tuck_tail', 'numeric__model_choice_required_flag', 'numeric__multi_legal_move_flag', 'numeric__opponent_damage', 'numeric__opponent_energy', 'numeric__player_damage', 'numeric__player_energy', 'numeric__prize_cards_remaining', 'numeric__recomputed_legal_move_count', 'numeric__single_legal_move_flag', 'numeric__turn_number']"
R1_REMOVE_LEGAL_SIGNATURE,58,6,58,"['categorical__legal_move_signature_ascension', 'categorical__legal_move_signature_ascension | quick attack', 'categorical__legal_move_signature_bind down', 'categorical__legal_move_signature_live coal', 'categorical__legal_move_signature_pass', 'categorical__legal_move_signature_tuck tail']","['categorical__active_card_Bulbasaur', 'categorical__active_card_Charmander', 'categorical__active_card_Eevee', 'categorical__active_card_Meowth', 'categorical__battle_phase_EARLY', 'categorical__battle_phase_LATE', 'categorical__battle_phase_MID', 'categorical__current_side_Opponent', 'categorical__current_side_Player', 'categorical__damage_band_HIGH_DAMAGE', 'categorical__damage_band_LOW_DAMAGE', 'categorical__damage_band_MEDIUM_DAMAGE', 'categorical__energy_band_LOW', 'categorical__energy_band_READY', 'categorical__energy_band_ZERO', 'categorical__inactive_card_Bulbasaur', 'categorical__inactive_card_Charmander', 'categorical__inactive_card_Eevee', 'categorical__inactive_card_Meowth', 'categorical__opponent_card_Charmander', 'categorical__opponent_card_Eevee', 'categorical__player_card_Bulbasaur', 'categorical__player_card_Charmander', 'categorical__player_card_Eevee', 'categorical__player_card_Meowth', 'categorical__side_mode_FLIP', 'categorical__side_mode_PRESERVE', 'numeric__absolute_damage_difference', 'numeric__absolute_energy_difference', 'numeric__acting_damage', 'numeric__acting_energy', 'numeric__active_card_can_use__ascension', 'numeric__active_card_can_use__bind_down', 'numeric__active_card_can_use__live_coal', 'numeric__active_card_can_use__pass', 'numeric__active_card_can_use__quick_attack', 'numeric__active_card_can_use__tuck_tail', 'numeric__damage_difference', 'numeric__defending_damage', 'numeric__defending_energy', 'numeric__energy_difference', 'numeric__hand_size', 'numeric__is_legal__ascension', 'numeric__is_legal__bind_down', 'numeric__is_legal__live_coal', 'numeric__is_legal__pass', 'numeric__is_legal__quick_attack', 'numeric__is_legal__tuck_tail', 'numeric__model_choice_required_flag', 'numeric__multi_legal_move_flag', 'numeric__opponent_damage', 'numeric__opponent_energy', 'numeric__player_damage', 'numeric__player_energy', 'numeric__prize_cards_remaining', 'numeric__recomputed_legal_move_count', 'numeric__single_legal_move_flag', 'numeric__turn_number']"
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,52,12,52,"['categorical__legal_move_signature_ascension', 'categorical__legal_move_signature_ascension | quick attack', 'categorical__legal_move_signature_bind down', 'categorical__legal_move_signature_live coal', 'categorical__legal_move_signature_pass', 'categorical__legal_move_signature_tuck tail', 'numeric__active_card_can_use__ascension', 'numeric__active_card_can_use__bind_down', 'numeric__active_card_can_use__live_coal', 'numeric__active_card_can_use__pass', 'numeric__active_card_can_use__quick_attack', 'numeric__active_card_can_use__tuck_tail']","['categorical__active_card_Bulbasaur', 'categorical__active_card_Charmander', 'categorical__active_card_Eevee', 'categorical__active_card_Meowth', 'categorical__battle_phase_EARLY', 'categorical__battle_phase_LATE', 'categorical__battle_phase_MID', 'categorical__current_side_Opponent', 'categorical__current_side_Player', 'categorical__damage_band_HIGH_DAMAGE', 'categorical__damage_band_LOW_DAMAGE', 'categorical__damage_band_MEDIUM_DAMAGE', 'categorical__energy_band_LOW', 'categorical__energy_band_READY', 'categorical__energy_band_ZERO', 'categorical__inactive_card_Bulbasaur', 'categorical__inactive_card_Charmander', 'categorical__inactive_card_Eevee', 'categorical__inactive_card_Meowth', 'categorical__opponent_card_Charmander', 'categorical__opponent_card_Eevee', 'categorical__player_card_Bulbasaur', 'categorical__player_card_Charmander', 'categorical__player_card_Eevee', 'categorical__player_card_Meowth', 'categorical__side_mode_FLIP', 'categorical__side_mode_PRESERVE', 'numeric__absolute_damage_difference', 'numeric__absolute_energy_difference', 'numeric__acting_damage', 'numeric__acting_energy', 'numeric__damage_difference', 'numeric__defending_damage', 'numeric__defending_energy', 'numeric__energy_difference', 'numeric__hand_size', 'numeric__is_legal__ascension', 'numeric__is_legal__bind_down', 'numeric__is_legal__live_coal', 'numeric__is_legal__pass', 'numeric__is_legal__quick_attack', 'numeric__is_legal__tuck_tail', 'numeric__model_choice_required_flag', 'numeric__multi_legal_move_flag', 'numeric__opponent_damage', 'numeric__opponent_energy', 'numeric__player_damage', 'numeric__player_energy', 'numeric__prize_cards_remaining', 'numeric__recomputed_legal_move_count', 'numeric__single_legal_move_flag', 'numeric__turn_number']"
R3_STATE_CENTRIC_POLICY,46,18,46,"['categorical__legal_move_signature_ascension', 'categorical__legal_move_signature_ascension | quick attack', 'categorical__legal_move_signature_bind down', 'categorical__legal_move_signature_live coal', 'categorical__legal_move_signature_pass', 'categorical__legal_move_signature_tuck tail', 'numeric__active_card_can_use__ascension', 'numeric__active_card_can_use__bind_down', 'numeric__active_card_can_use__live_coal', 'numeric__active_card_can_use__pass', 'numeric__active_card_can_use__quick_attack', 'numeric__active_card_can_use__tuck_tail', 'numeric__is_legal__ascension', 'numeric__is_legal__bind_down', 'numeric__is_legal__live_coal', 'numeric__is_legal__pass', 'numeric__is_legal__quick_attack', 'numeric__is_legal__tuck_tail']","['categorical__active_card_Bulbasaur', 'categorical__active_card_Charmander', 'categorical__active_card_Eevee', 'categorical__active_card_Meowth', 'categorical__battle_phase_EARLY', 'categorical__battle_phase_LATE', 'categorical__battle_phase_MID', 'categorical__current_side_Opponent', 'categorical__current_side_Player', 'categorical__damage_band_HIGH_DAMAGE', 'categorical__damage_band_LOW_DAMAGE', 'categorical__damage_band_MEDIUM_DAMAGE', 'categorical__energy_band_LOW', 'categorical__energy_band_READY', 'categorical__energy_band_ZERO', 'categorical__inactive_card_Bulbasaur', 'categorical__inactive_card_Charmander', 'categorical__inactive_card_Eevee', 'categorical__inactive_card_Meowth', 'categorical__opponent_card_Charmander', 'categorical__opponent_card_Eevee', 'categorical__player_card_Bulbasaur', 'categorical__player_card_Charmander', 'categorical__player_card_Eevee', 'categorical__player_card_Meowth', 'categorical__side_mode_FLIP', 'categorical__side_mode_PRESERVE', 'numeric__absolute_damage_difference', 'numeric__absolute_energy_difference', 'numeric__acting_damage', 'numeric__acting_energy', 'numeric__damage_difference', 'numeric__defending_damage', 'numeric__defending_energy', 'numeric__energy_difference', 'numeric__hand_size', 'numeric__model_choice_required_flag', 'numeric__multi_legal_move_flag', 'numeric__opponent_damage', 'numeric__opponent_energy', 'numeric__player_damage', 'numeric__player_energy', 'numeric__prize_cards_remaining', 'numeric__recomputed_legal_move_count', 'numeric__single_legal_move_flag', 'numeric__turn_number']"
