strategy_a,strategy_b,removed_features_a,removed_features_b,additional_features_removed,cases,mean_maximum_case_difference,median_maximum_case_difference,maximum_case_difference,mean_l1_case_difference,cases_above_005,cases_above_010,cases_above_015
R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0,18,18,184,0.10693478260869567,0.108,0.168,0.21993478260869567,145,128,46
R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0,6,6,184,0.07242391304347827,0.072,0.118,0.1472391304347826,92,85,0
R0_CURRENT_BASELINE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,0,12,12,184,0.05647826086956522,0.050000000000000024,0.094,0.11580434782608695,115,0,0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,12,18,6,184,0.05441304347826089,0.062000000000000055,0.07600000000000007,0.11008695652173914,135,0,0
R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,6,18,12,184,0.038065217391304376,0.04600000000000004,0.07800000000000007,0.07960869565217395,65,0,0
R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,6,12,6,184,0.02028260869565218,0.016000000000000007,0.05199999999999999,0.04282608695652172,2,0,0
