match_number,winner,turns,final_score,transcript_characters
1,Tournament AI A,3,170.0,1024
2,Tournament AI A,4,140.0,1288
3,Tournament AI A,3,170.0,1024
4,Tournament AI A,4,140.0,1288
5,Tournament AI A,3,170.0,1024
