strategy_id,model_type,retained_feature_count,removed_feature_count,training_rows,training_seconds,class_count,classes,train_accuracy,validation_accuracy,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,test_log_loss,train_accuracy_minus_r0,validation_accuracy_minus_r0,test_accuracy_minus_r0,test_balanced_accuracy_minus_r0,test_macro_f1_minus_r0,test_weighted_f1_minus_r0,test_log_loss_minus_r0,validation_accuracy_drop_from_r0,test_accuracy_drop_from_r0
R0_CURRENT_BASELINE,RandomForestClassifier,64,0,840,1.377610499970615,6,"[""Ascension"", ""Bind Down"", ""Live Coal"", ""Pass"", ""Quick Attack"", ""Tuck Tail""]",1.0,1.0,1.0,1.0,1.0,1.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R1_REMOVE_LEGAL_SIGNATURE,RandomForestClassifier,58,6,840,1.420908399973996,6,"[""Ascension"", ""Bind Down"", ""Live Coal"", ""Pass"", ""Quick Attack"", ""Tuck Tail""]",1.0,1.0,1.0,1.0,1.0,1.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,RandomForestClassifier,52,12,840,1.3064558999612927,6,"[""Ascension"", ""Bind Down"", ""Live Coal"", ""Pass"", ""Quick Attack"", ""Tuck Tail""]",1.0,1.0,1.0,1.0,1.0,1.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R3_STATE_CENTRIC_POLICY,RandomForestClassifier,46,18,840,1.2357369000092149,6,"[""Ascension"", ""Bind Down"", ""Live Coal"", ""Pass"", ""Quick Attack"", ""Tuck Tail""]",1.0,1.0,1.0,1.0,1.0,1.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
