dataframe_name,rows,columns,column_names
expanded_case_results,184,34,"[""expanded_pair_id"", ""comparison_case_id"", ""evaluation_side"", ""source_pair_id"", ""source_scenario_id"", ""source_condition_id"", ""source_decision_number"", ""source_turn_number"", ""expansion_variant_id"", ""evaluation_batch_number"", ""acting_card"", ""opposing_card"", ""acting_hp"", ""opposing_hp"", ""acting_energy"", ""opposing_energy"", ""expected_legal_moves"", ""runtime_legal_moves"", ""legal_move_sets_match"", ""selected_move"", ""selected_move_is_legal"", ""selected_probability"", ""prediction_confidence"", ""routing_reason"", ""raw_predicted_action"", ""fallback_used"", ""policy_history_record_available"", ""acting_card_match"", ""opposing_card_match"", ""acting_energy_match"", ""opposing_energy_match"", ""case_execution_success"", ""error_type"", ""error_message""]"
expanded_case_errors,0,6,"[""expanded_pair_id"", ""comparison_case_id"", ""evaluation_side"", ""expansion_variant_id"", ""error_type"", ""error_message""]"
expanded_paired_results,92,30,"[""expanded_pair_id"", ""source_pair_id"", ""source_scenario_id"", ""source_condition_id"", ""source_turn_number"", ""expansion_variant_id"", ""evaluation_batch_number"", ""acting_card"", ""opposing_card"", ""acting_energy"", ""opposing_energy"", ""legal_moves"", ""opponent_selected_move"", ""player_selected_move"", ""selected_move_agreement"", ""opponent_confidence"", ""player_confidence"", ""confidence_difference_player_minus_opponent"", ""absolute_confidence_difference"", ""opponent_routing_reason"", ""player_routing_reason"", ""routing_reason_agreement"", ""opponent_move_legal"", ""player_move_legal"", ""legality_agreement"", ""opponent_fallback_used"", ""player_fallback_used"", ""fallback_agreement"", ""context_match"", ""pair_valid""]"
variant_summary,4,12,"[""expansion_variant_id"", ""pairs"", ""valid_pairs"", ""move_agreements"", ""routing_agreements"", ""legality_agreements"", ""fallback_agreements"", ""average_confidence_difference"", ""average_absolute_confidence_difference"", ""maximum_absolute_confidence_difference"", ""move_agreement_rate"", ""routing_agreement_rate""]"
move_distribution,8,9,"[""expansion_variant_id"", ""evaluation_side"", ""selected_move"", ""decisions"", ""average_confidence"", ""minimum_confidence"", ""maximum_confidence"", ""fallback_decisions"", ""move_share""]"
score_cases,184,22,"[""expanded_pair_id"", ""comparison_case_id"", ""evaluation_side"", ""source_pair_id"", ""source_scenario_id"", ""source_condition_id"", ""source_turn_number"", ""expansion_variant_id"", ""acting_card"", ""opposing_card"", ""acting_energy"", ""opposing_energy"", ""predicted_action"", ""quick_attack_probability"", ""ascension_probability"", ""quick_attack_minus_ascension"", ""target_probability_total"", ""conditional_quick_attack_share"", ""conditional_ascension_share"", ""quick_attack_score_advantage"", ""ascension_score_advantage"", ""score_tie""]"
counterfactual_cases,1656,31,"[""expanded_pair_id"", ""comparison_case_id"", ""evaluation_side"", ""source_scenario_id"", ""source_condition_id"", ""source_turn_number"", ""expansion_variant_id"", ""counterfactual_id"", ""counterfactual_group"", ""counterfactual_description"", ""legal_moves"", ""legal_move_signature"", ""observed_turn_number"", ""observed_acting_energy"", ""observed_opposing_energy"", ""observed_energy_difference"", ""predicted_action"", ""quick_attack_probability"", ""ascension_probability"", ""quick_attack_minus_ascension"", ""quick_attack_score_advantage"", ""ascension_score_advantage"", ""baseline_quick_attack_probability"", ""baseline_ascension_probability"", ""baseline_quick_attack_minus_ascension"", ""baseline_predicted_action"", ""quick_attack_probability_change"", ""ascension_probability_change"", ""score_margin_change"", ""predicted_action_changed"", ""ascension_overtook_quick_attack""]"
