split_name,matrix_source_name,target_source_name,rows,columns,matrix_type,matrix_hash,target_hash,baseline_accuracy
TRAIN,X_train_encoded,y_train,840,64,csr_matrix,97fb5778d744f5864290e222d3c99f9a988eb223b74ee8b96216bd9c27a12e2e,4c6b2da1c86ec32af76267b0174be1b0e9f7c6e210122899261e049e00d40157,1.0
VALIDATION,X_validation_encoded,y_validation,110,64,csr_matrix,4702dcd514ad17746fe86f7444f0d08c9ff58900ec158798047806b4b67a245e,cba894d0519727a315cc2ccd5ff03e8a3dc7c01d1a78593e16c252939e22ce11,1.0
TEST,X_test_encoded,y_test,110,64,csr_matrix,cf986ff9108252af10509e3423a821fbc6a0e165315a2e7b4865b0886f328a08,a1d3fdbd393ebd028873710a6de4f6bd8847378443d88ece2ac700782e38418e,1.0
