file_path,object_name,object_type,is_model_candidate,is_preprocessor_candidate,feature_count,model_object_hash,preprocessor_object_hash,importance_hash,feature_name_hash,load_error
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook55\section3a_r2_remove_signature_and_compatibility_model.joblib,model,RandomForestClassifier,True,False,52.0,ba647dcaaefe4f2b364008092513bc623cb4db30495bad71d0de7eb53d9af124,,a9ea1f6b79146a67f47a6273768a98070d3ec9399fe8be073726d5b916f5eca6,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook55\section3a_r2_remove_signature_and_compatibility_model.joblib,retained_feature_names,list,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook55\section3a_r2_remove_signature_and_compatibility_model.joblib,retained_feature_indices,list,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook55\section3a_r2_remove_signature_and_compatibility_model.joblib,training_results,dict,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook55\section3a_r3_state_centric_policy_model.joblib,strategy_id,str,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook55\section3a_r3_state_centric_policy_model.joblib,model,RandomForestClassifier,True,False,46.0,1f3a7e7327dc9ef05e7c5314ab96f09102f380f06cc8f99ba80a89bacfdf1c45,,6338390066040611912c6819f5eff6c7a08d74b91d435f3718f7fe1e3c7506f2,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook55\section3a_r3_state_centric_policy_model.joblib,retained_feature_names,list,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook55\section3a_r3_state_centric_policy_model.joblib,retained_feature_indices,list,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook55\section3a_r3_state_centric_policy_model.joblib,training_results,dict,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook28\training_examples.pkl,root_object,list,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook40\ppo_training_package.pkl,metadata,dict,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook40\ppo_training_package.pkl,ppo_batch,dict,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook41\ppo_training_engine.pkl,actor_state_dict,OrderedDict,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook41\ppo_training_engine.pkl,critic_state_dict,OrderedDict,False,False,,,,,,
