strategy_id,actual_label,predicted_label,count
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Pass,Ascension,0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Pass,Bind Down,0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Pass,Live Coal,0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Pass,Pass,12
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Pass,Quick Attack,0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Pass,Tuck Tail,0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Quick Attack,Ascension,0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Quick Attack,Bind Down,0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Quick Attack,Live Coal,0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Quick Attack,Pass,0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Quick Attack,Quick Attack,33
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Quick Attack,Tuck Tail,0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Tuck Tail,Ascension,0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Tuck Tail,Bind Down,0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Tuck Tail,Live Coal,0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Tuck Tail,Pass,0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Tuck Tail,Quick Attack,0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Tuck Tail,Tuck Tail,1
R3_STATE_CENTRIC_POLICY,Ascension,Ascension,44
R3_STATE_CENTRIC_POLICY,Ascension,Bind Down,0
R3_STATE_CENTRIC_POLICY,Ascension,Live Coal,0
R3_STATE_CENTRIC_POLICY,Ascension,Pass,0
R3_STATE_CENTRIC_POLICY,Ascension,Quick Attack,0
R3_STATE_CENTRIC_POLICY,Ascension,Tuck Tail,0
R3_STATE_CENTRIC_POLICY,Bind Down,Ascension,0
R3_STATE_CENTRIC_POLICY,Bind Down,Bind Down,16
R3_STATE_CENTRIC_POLICY,Bind Down,Live Coal,0
R3_STATE_CENTRIC_POLICY,Bind Down,Pass,0
R3_STATE_CENTRIC_POLICY,Bind Down,Quick Attack,0
R3_STATE_CENTRIC_POLICY,Bind Down,Tuck Tail,0
R3_STATE_CENTRIC_POLICY,Live Coal,Ascension,0
R3_STATE_CENTRIC_POLICY,Live Coal,Bind Down,0
R3_STATE_CENTRIC_POLICY,Live Coal,Live Coal,4
