strategy_a,strategy_b,action,mean_signed_shift_b_minus_a,median_signed_shift_b_minus_a,minimum_signed_shift,maximum_signed_shift,cases_probability_increased,cases_probability_decreased,cases_probability_unchanged,cases_increased_by_005,cases_decreased_by_005,cases_increased_by_010,cases_decreased_by_010,absolute_mean_signed_shift
R0_CURRENT_BASELINE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Live Coal,0.0011304347826086958,0.002,0.0,0.002,104,0,80,0,0,0,0,0.0011304347826086958
R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,Tuck Tail,0.0011304347826086958,0.0,0.0,0.004,91,0,93,0,0,0,0,0.0011304347826086958
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,Tuck Tail,-0.0005652173913043479,0.0,-0.002,0.0,0,52,132,0,0,0,0,0.0005652173913043479
R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,Tuck Tail,-0.0005652173913043479,0.0,-0.002,0.0,0,52,132,0,0,0,0,0.0005652173913043479
R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Pass,-0.00013043478260869583,0.0,-0.006,0.006,48,64,72,0,0,0,0,0.00013043478260869583
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,Bind Down,0.0,0.0,0.0,0.0,0,0,184,0,0,0,0,0.0
R0_CURRENT_BASELINE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Tuck Tail,0.0,0.0,-0.002,0.002,13,13,158,0,0,0,0,0.0
R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,Bind Down,0.0,0.0,0.0,0.0,0,0,184,0,0,0,0,0.0
R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Bind Down,0.0,0.0,0.0,0.0,0,0,184,0,0,0,0,0.0
R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,Live Coal,0.0,0.0,0.0,0.0,0,0,184,0,0,0,0,0.0
