action,strategy_pair_rows,mean_probability_drift,median_probability_drift,maximum_mean_probability_drift,maximum_probability_drift,action_sensitivity_rank
Quick Attack,6,0.05339673913043478,0.05028260869565218,0.10056521739130435,0.15000000000000002,1
Ascension,6,0.053117753623188414,0.04983695652173914,0.09967391304347828,0.168,2
Pass,6,0.008086956521739132,0.008206521739130435,0.012043478260869567,0.04,3
Live Coal,6,0.002057971014492754,0.0019130434782608698,0.003695652173913044,0.012,4
Bind Down,6,0.0016956521739130432,0.0016956521739130432,0.0033913043478260864,0.006,5
Tuck Tail,6,0.0008949275362318841,0.0008478260869565218,0.0016956521739130434,0.004,6
