transition,strategy_before,strategy_after,removed_family,removed_feature_count,total_importance_removed,total_importance_removed_percent,mean_maximum_case_difference,median_maximum_case_difference,maximum_case_difference,mean_l1_case_difference,cases_above_005,cases_above_010,cases_above_015,mean_max_drift_per_importance_removed,mean_l1_drift_per_importance_removed,fraction_cases_above_005,fraction_cases_above_010,fraction_cases_above_015
R0_TO_R1,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,legal_signature,6,0.21633009247497506,21.633009247497505,0.07242391304347827,0.072,0.118,0.1472391304347826,92,85,0,0.3347842744155265,0.6806225095651689,0.5,0.46195652173913043,0.0
R1_TO_R2,R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,compatibility,6,0.1656363417150983,16.56363417150983,0.02028260869565218,0.016000000000000007,0.05199999999999999,0.04282608695652172,2,0,0,0.12245264828740993,0.25855489509774643,0.010869565217391304,0.0,0.0
R2_TO_R3,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,direct_legality,6,0.30218396186046736,30.218396186046736,0.05441304347826089,0.062000000000000055,0.07600000000000007,0.11008695652173914,135,0,0,0.18006595433872155,0.3643044317903658,0.7336956521739131,0.0,0.0
