case_variant,case_comparisons,unique_cases,mean_maximum_probability_difference,median_maximum_probability_difference,maximum_probability_difference,mean_l1_probability_difference
V03,276,46,0.0776376811594203,0.07200000000000001,0.168,0.15742028985507248
V02,276,46,0.07473913043478263,0.07,0.162,0.15146376811594203
V04,276,46,0.040413043478260885,0.037000000000000005,0.11599999999999999,0.08492753623188407
V01,276,46,0.039608695652173925,0.03400000000000003,0.11199999999999999,0.08318840579710145
